onset	duration	response_time
13.2	n/a	0.237
17.9	n/a	0.212
25.6	n/a	0.001
27.3	n/a	0.398
30.5	n/a	0.288
37.9	n/a	0.001
39.9	n/a	0.488
47.4	n/a	0.241
52.5	n/a	0.255
60.0	n/a	0.225
63.6	n/a	0.363
72.0	n/a	0.248
77.1	n/a	0.259
83.0	n/a	0.228
90.7	n/a	0.215
100.5	n/a	0.221
109.7	n/a	0.225
119.6	n/a	0.233
122.5	n/a	0.483
130.5	n/a	0.207
134.0	n/a	0.283
142.5	n/a	0.202
146.0	n/a	0.313
155.5	n/a	0.204
162.9	n/a	0.241
172.3	n/a	0.213
175.2	n/a	0.390
181.9	n/a	0.255
185.1	n/a	0.310
191.0	n/a	0.242
194.5	n/a	0.308
202.9	n/a	0.001
204.3	n/a	0.378
211.0	n/a	0.250
220.1	n/a	0.233
222.7	n/a	0.297
229.8	n/a	0.258
233.4	n/a	0.337
242.2	n/a	0.236
249.0	n/a	0.249
254.2	n/a	0.221
260.0	n/a	0.207
264.1	n/a	0.273
273.2	n/a	0.233
277.7	n/a	0.285
281.2	n/a	0.278
285.5	n/a	0.238
289.9	n/a	0.212
297.0	n/a	0.227
