onset	duration	response_time
17.4	n/a	0.230
21.5	n/a	0.232
26.2	n/a	0.184
34.8	n/a	0.227
38.3	n/a	0.440
44.3	n/a	0.282
47.9	n/a	0.323
53.6	n/a	0.390
60.2	n/a	0.245
62.7	n/a	0.392
72.5	n/a	0.255
80.7	n/a	0.290
90.6	n/a	0.393
100.6	n/a	0.273
105.9	n/a	0.339
115.8	n/a	0.278
123.7	n/a	0.280
131.0	n/a	0.409
136.9	n/a	0.332
142.9	n/a	0.356
148.9	n/a	0.308
155.0	n/a	0.285
160.3	n/a	0.269
170.2	n/a	0.295
173.0	n/a	0.491
178.3	n/a	0.316
186.2	n/a	0.314
191.1	n/a	0.248
197.9	n/a	0.380
203.0	n/a	0.288
206.2	n/a	0.433
214.7	n/a	0.293
220.3	n/a	0.350
228.0	n/a	0.254
235.0	n/a	0.298
243.0	n/a	0.336
246.6	n/a	0.382
256.5	n/a	0.314
261.9	n/a	0.320
270.7	n/a	0.362
278.5	n/a	0.364
288.4	n/a	0.514
298.5	n/a	0.362
