onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
0.003	10.014	Instruction	-1	Picture	Instruction	n/a	n/a	n/a	29.787
10.033	5.007	ITI	0	Picture	Fixation+	1	14.923	n/a	39.817
15.056	2.006	Cue	0	Picture	Maintain	1	12.9	n/a	44.84
17.063	4.99	Pic	0	Picture	IAPS_01	1	7.91	n/a	46.846
22.053	2.006	Blank	0	Picture	BLANK	1	5.904	n/a	51.837
29.963	n/a	ConfirmRating	0	Response	n/a	1	n/a	5	59.746
29.994	6.002	ITI	1	Picture	Fixation+	2	13.223	n/a	59.778
36.012	2.006	Cue	1	Picture	Enhance	2	11.2	n/a	65.796
38.018	4.99	Pic	1	Picture	IAPS_26	2	6.21	n/a	67.802
43.008	2.006	Blank	1	Picture	BLANK	2	4.204	n/a	72.792
49.218	n/a	ConfirmRating	1	Response	n/a	2	n/a	6	79.002
49.242	4.012	ITI	2	Picture	Fixation+	3	12.839	n/a	79.026
53.271	2.006	Cue	2	Picture	Suppress	3	10.816	n/a	83.055
55.277	4.99	Pic	2	Picture	IAPS_36	3	5.826	n/a	85.061
60.267	2.006	Blank	2	Picture	BLANK	3	3.82	n/a	90.051
66.093	n/a	ConfirmRating	2	Response	n/a	3	n/a	5	95.877
66.119	5.007	ITI	3	Picture	Fixation+	4	12.083	n/a	95.903
71.143	2.006	Cue	3	Picture	Maintain	4	10.06	n/a	100.927
73.149	4.99	Pic	3	Picture	IAPS_46	4	5.07	n/a	102.933
78.139	2.006	Blank	3	Picture	BLANK	4	3.064	n/a	107.923
83.209	n/a	ConfirmRating	3	Response	n/a	4	n/a	0	112.993
83.229	5.007	ITI	4	Picture	Fixation+	4	10.978	n/a	113.012
88.252	2.006	Cue	4	Picture	Maintain	4	8.956	n/a	118.036
90.258	4.99	Pic	4	Picture	IAPS_49	4	3.965	n/a	120.042
95.248	2.006	Blank	4	Picture	BLANK	4	1.959	n/a	125.032
99.214	n/a	ConfirmRating	4	Response	n/a	4	n/a	3	128.997
99.244	6.002	ITI	5	Picture	Fixation+	2	12.4	n/a	129.028
105.262	2.006	Cue	5	Picture	Enhance	2	10.377	n/a	135.046
107.268	4.99	Pic	5	Picture	IAPS_27	2	5.387	n/a	137.052
