onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	5.624	06:19:43	1	15124	1	1	2	6	9	n/a	n/a	n/a	n/a	n/a	n/a	10,2	1
10.0	n/a	1.368	06:19:53	1	25937	2	2	6	7	13	8	12	3	14	n/a	n/a	13,2	1
21.0	n/a	5.287	06:20:04	1	35063	3	3	2	10	3	n/a	n/a	n/a	n/a	n/a	n/a	10,1	0
30.0	n/a	2.396	06:20:13	1	41850	4	4	2	1	12	n/a	n/a	n/a	n/a	n/a	n/a	2,2	1
37.0	n/a	3.723	06:20:20	1	55039	5	5	6	3	15	8	12	10	14	n/a	n/a	8,3	1
50.0	n/a	1.912	06:20:33	1	66420	6	6	6	3	14	15	11	9	1	n/a	n/a	7,6	0
61.0	n/a	2.584	06:20:44	1	78488	7	7	6	5	16	12	2	10	7	n/a	n/a	5,1	0
73.0	n/a	1.235	06:20:56	1	83568	8	8	2	6	4	n/a	n/a	n/a	n/a	n/a	n/a	6,1	1
78.0	n/a	2.767	06:21:01	1	90180	9	9	2	12	4	n/a	n/a	n/a	n/a	n/a	n/a	4,2	1
85.0	n/a	5.4	06:21:08	1	105043	10	10	6	13	8	5	6	14	9	n/a	n/a	14,5	0
100.0	n/a	8.374	06:21:23	1	117428	11	11	2	16	7	n/a	n/a	n/a	n/a	n/a	n/a	13,2	1
112.0	n/a	4.143	06:21:35	1	131037	12	12	6	5	11	8	13	6	1	n/a	n/a	5,1	0
