onset	duration	response_time
15.3	n/a	0.201
18.5	n/a	0.286
22.2	n/a	0.186
27.1	n/a	0.205
32.4	n/a	0.153
42.3	n/a	0.190
52.3	n/a	0.189
61.2	n/a	0.222
66.2	n/a	0.211
74.4	n/a	0.215
78.5	n/a	0.259
83.1	n/a	0.185
93.0	n/a	0.199
101.6	n/a	0.204
111.2	n/a	0.202
114.5	n/a	0.305
123.8	n/a	0.205
131.0	n/a	0.250
136.0	n/a	0.330
146.0	n/a	0.207
155.9	n/a	0.277
158.7	n/a	0.404
168.1	n/a	0.207
176.6	n/a	0.231
181.1	n/a	0.347
184.3	n/a	0.265
189.5	n/a	0.172
197.6	n/a	0.206
201.5	n/a	0.290
204.6	n/a	0.210
206.7	n/a	0.001
212.8	n/a	0.223
216.9	n/a	0.248
222.2	n/a	0.249
229.0	n/a	0.196
233.2	n/a	0.245
243.1	n/a	0.254
250.4	n/a	0.278
255.3	n/a	0.241
260.4	n/a	0.311
269.2	n/a	0.220
272.1	n/a	0.279
277.6	n/a	0.175
286.3	n/a	0.258
296.5	n/a	0.221
