onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.423	06:21:39	1	16518	1	1	6	12	9	2	11	3	4	n/a	n/a	13,6	1
11.0	n/a	1.486	06:21:50	1	27471	2	2	6	14	8	5	7	12	16	n/a	n/a	3,3	1
22.0	n/a	1.113	06:22:01	1	32437	3	3	2	8	5	n/a	n/a	n/a	n/a	n/a	n/a	5,2	1
27.0	n/a	1.154	06:22:06	1	37434	4	4	2	4	11	n/a	n/a	n/a	n/a	n/a	n/a	12,1	1
32.0	n/a	1.059	06:22:11	1	42340	5	5	2	16	1	n/a	n/a	n/a	n/a	n/a	n/a	1,2	1
37.0	n/a	1.56	06:22:16	1	53363	6	6	6	9	16	6	2	15	11	n/a	n/a	2,2	0
48.0	n/a	1.011	06:22:27	1	58230	7	7	2	5	6	n/a	n/a	n/a	n/a	n/a	n/a	5,1	1
53.0	n/a	1.491	06:22:32	1	63572	8	8	2	10	12	n/a	n/a	n/a	n/a	n/a	n/a	15,2	1
58.0	n/a	1.163	06:22:37	1	74208	9	9	6	11	16	6	7	5	15	n/a	n/a	15,6	1
69.0	n/a	1.308	06:22:48	1	84974	10	10	6	6	5	1	3	12	10	n/a	n/a	10,6	1
80.0	n/a	1.172	06:22:59	1	95612	11	11	6	3	1	15	7	12	16	n/a	n/a	15,3	0
90.0	n/a	1.055	06:23:09	1	100513	12	12	2	16	8	n/a	n/a	n/a	n/a	n/a	n/a	6,1	1
