onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	0.993	04:42:28	1	10467	1	1	2	9	8	n/a	n/a	n/a	n/a	n/a	n/a	8,2	1
5.0	n/a	3.256	04:42:33	1	23197	2	2	6	11	4	12	5	8	16	n/a	n/a	2,4	1
17.0	n/a	1.124	04:42:45	1	28168	3	3	2	11	1	n/a	n/a	n/a	n/a	n/a	n/a	1,2	1
22.0	n/a	1.141	04:42:50	1	33149	4	4	2	10	7	n/a	n/a	n/a	n/a	n/a	n/a	7,2	1
27.0	n/a	1.234	04:42:55	1	43856	5	5	6	3	2	1	6	9	4	n/a	n/a	10,6	1
38.0	n/a	4.016	04:43:06	1	57332	6	6	6	13	7	14	16	11	8	n/a	n/a	10,5	1
52.0	n/a	2.219	04:43:20	1	69023	7	7	6	14	13	5	15	12	6	n/a	n/a	10,6	1
63.0	n/a	1.095	04:43:31	1	73978	8	8	2	9	13	n/a	n/a	n/a	n/a	n/a	n/a	13,2	1
68.0	n/a	1.082	04:43:36	1	78912	9	9	2	1	10	n/a	n/a	n/a	n/a	n/a	n/a	2,1	1
73.0	n/a	1.316	04:43:41	1	89701	10	10	6	1	8	15	12	4	2	n/a	n/a	1,1	1
84.0	n/a	0.962	04:43:52	1	94508	11	11	2	14	5	n/a	n/a	n/a	n/a	n/a	n/a	14,1	1
89.0	n/a	1.952	04:43:57	1	105932	12	12	6	4	2	7	15	9	16	n/a	n/a	2,4	1
