onset	duration	trial_type	event_type	time_until_response	response_time	trial_number	block_num_within_trial	image_seq_num_within_block	question_seq_num_within_block	image_seq_num	picture_number	condition	question_type	block_type	rating	rating_computed	onset_uncorrected	KDEV_imagefile
0.016	10.014	ITI	Fixation+	99.119	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	40.811	n/a
10.046	0.497	happy	Picture	98.605	n/a	1	1	1	n/a	1	46	2	n/a	n/a	n/a	n/a	50.842	AF09HAS.jpg
10.543	0.514	Blank	Blank	98.091	n/a	1	1	1	n/a	1	n/a	2	n/a	n/a	n/a	n/a	51.339	n/a
11.074	0.497	happy	Picture	97.578	n/a	1	1	2	n/a	2	69	2	n/a	n/a	n/a	n/a	51.869	AM10HAS.jpg
11.571	0.514	Blank	Blank	97.064	n/a	1	1	2	n/a	2	n/a	2	n/a	n/a	n/a	n/a	52.367	n/a
12.102	0.497	happy	Picture	96.55	n/a	1	1	3	n/a	3	71	2	n/a	n/a	n/a	n/a	52.897	BM12HAS.jpg
12.599	0.514	Blank	Blank	96.036	n/a	1	1	3	n/a	3	n/a	2	n/a	n/a	n/a	n/a	53.395	n/a
13.129	0.497	happy	Picture	95.522	n/a	1	1	4	n/a	4	51	2	n/a	n/a	n/a	n/a	53.925	AF20HAS.jpg
13.627	0.514	Blank	Blank	95.008	n/a	1	1	4	n/a	4	n/a	2	n/a	n/a	n/a	n/a	54.422	n/a
14.157	0.497	happy	Picture	94.494	n/a	1	1	5	n/a	5	67	2	n/a	n/a	n/a	n/a	54.953	BM08HAS.jpg
14.655	0.514	Blank	Blank	93.98	n/a	1	1	5	n/a	5	n/a	2	n/a	n/a	n/a	n/a	55.45	n/a
15.185	0.497	happy	Picture	93.466	n/a	1	1	6	n/a	6	60	2	n/a	n/a	n/a	n/a	55.981	AF32HAS.jpg
15.683	0.514	Blank	Blank	92.952	n/a	1	1	6	n/a	6	n/a	2	n/a	n/a	n/a	n/a	56.478	n/a
16.213	0.497	happy	Picture	92.438	n/a	1	1	7	n/a	7	42	2	n/a	n/a	n/a	n/a	57.009	AF03HAS.jpg
16.71	0.514	Blank	Blank	91.924	n/a	1	1	7	n/a	7	n/a	2	n/a	n/a	n/a	n/a	57.506	n/a
17.24	0.498	happy	Picture	91.41	n/a	1	1	8	n/a	8	55	2	n/a	n/a	n/a	n/a	58.036	AF25HAS.jpg
17.738	0.514	Blank	Blank	90.896	n/a	1	1	8	n/a	8	n/a	2	n/a	n/a	n/a	n/a	58.534	n/a
18.269	0.497	happy	Picture	90.382	n/a	1	1	9	n/a	9	72	2	n/a	n/a	n/a	n/a	59.065	AM14HAS.jpg
18.766	0.514	Blank	Blank	89.868	n/a	1	1	9	n/a	9	n/a	2	n/a	n/a	n/a	n/a	59.562	n/a
19.297	0.497	happy	Picture	89.355	n/a	1	1	10	n/a	10	63	2	n/a	n/a	n/a	n/a	60.092	AM04HAS.jpg
19.794	0.514	Blank	Blank	88.841	n/a	1	1	10	n/a	10	n/a	2	n/a	n/a	n/a	n/a	60.59	n/a
20.325	0.497	happy	Picture	88.327	n/a	1	1	11	n/a	11	58	2	n/a	n/a	n/a	n/a	61.12	BF29HAS.jpg
20.822	0.514	Blank	Blank	87.813	n/a	1	1	11	n/a	11	n/a	2	n/a	n/a	n/a	n/a	61.618	n/a
21.353	0.497	happy	Picture	87.299	n/a	1	1	12	n/a	12	48	2	n/a	n/a	n/a	n/a	62.148	AF14HAS.jpg
21.85	0.514	Blank	Blank	86.785	n/a	1	1	12	n/a	12	n/a	2	n/a	n/a	n/a	n/a	62.645	n/a
22.38	0.497	happy	Picture	86.271	n/a	1	1	13	n/a	13	66	2	n/a	n/a	n/a	n/a	63.176	BM07HAS.jpg
22.878	0.514	Blank	Blank	85.757	n/a	1	1	13	n/a	13	n/a	2	n/a	n/a	n/a	n/a	63.673	n/a
23.408	0.497	happy	Picture	85.243	n/a	1	1	14	n/a	14	70	2	n/a	n/a	n/a	n/a	64.204	BM11HAS.jpg
23.906	0.514	Blank	Blank	84.729	n/a	1	1	14	n/a	14	n/a	2	n/a	n/a	n/a	n/a	64.701	n/a
24.436	0.497	happy	Picture	84.215	n/a	1	1	15	n/a	15	43	2	n/a	n/a	n/a	n/a	65.232	BF04HAS.jpg
