onset	duration	response_time
12.3	n/a	0.184
19.8	n/a	0.180
23.5	n/a	0.521
32.8	n/a	0.001
34.4	n/a	0.600
41.0	n/a	0.657
50.6	n/a	0.221
59.2	n/a	0.185
63.9	n/a	0.259
67.0	n/a	0.286
69.6	n/a	0.231
73.9	n/a	0.187
81.8	n/a	0.175
90.7	n/a	0.175
100.7	n/a	0.188
110.6	n/a	0.196
119.2	n/a	0.194
123.3	n/a	0.234
133.3	n/a	0.181
140.1	n/a	0.254
145.6	n/a	0.198
148.6	n/a	0.213
155.0	n/a	0.178
157.6	n/a	0.409
164.9	n/a	0.182
171.0	n/a	0.245
176.0	n/a	0.181
182.0	n/a	0.195
191.2	n/a	0.186
198.8	n/a	0.199
204.6	n/a	0.200
209.6	n/a	0.188
217.4	n/a	0.209
221.4	n/a	0.212
224.3	n/a	0.560
229.2	n/a	0.181
239.4	n/a	0.194
248.9	n/a	0.188
256.2	n/a	0.276
261.1	n/a	0.209
270.1	n/a	0.177
278.9	n/a	0.189
288.5	n/a	0.167
294.9	n/a	0.253
