onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
0.007	10.014	Instruction	-1	Picture	Instruction	n/a	n/a	n/a	30.466
10.038	5.007	ITI	0	Picture	Fixation+	1	16.131	n/a	40.497
15.061	2.006	Cue	0	Picture	Maintain	1	14.108	n/a	45.52
17.067	4.99	Pic	0	Picture	IAPS_01	1	9.118	n/a	47.526
22.057	2.006	Blank	0	Picture	BLANK	1	7.112	n/a	52.516
31.175	n/a	ConfirmRating	0	Response	n/a	1	n/a	7	61.634
31.192	6.002	ITI	1	Picture	Fixation+	2	14.634	n/a	61.651
37.21	2.006	Cue	1	Picture	Enhance	2	12.612	n/a	67.669
39.216	4.99	Pic	1	Picture	IAPS_26	2	7.621	n/a	69.675
44.206	2.006	Blank	1	Picture	BLANK	2	5.615	n/a	74.665
51.828	n/a	ConfirmRating	1	Response	n/a	2	n/a	5	82.287
51.849	4.012	ITI	2	Picture	Fixation+	3	14.059	n/a	82.308
55.878	2.006	Cue	2	Picture	Suppress	3	12.037	n/a	86.337
57.884	4.99	Pic	2	Picture	IAPS_36	3	7.047	n/a	88.343
62.874	2.006	Blank	2	Picture	BLANK	3	5.041	n/a	93.333
69.921	n/a	ConfirmRating	2	Response	n/a	3	n/a	7	100.38
69.953	5.007	ITI	3	Picture	Fixation+	4	11.822	n/a	100.412
74.976	2.006	Cue	3	Picture	Maintain	4	9.8	n/a	105.436
76.982	4.99	Pic	3	Picture	IAPS_46	4	4.81	n/a	107.442
81.973	2.006	Blank	3	Picture	BLANK	4	2.804	n/a	112.432
86.782	n/a	ConfirmRating	3	Response	n/a	4	n/a	7	117.241
86.814	5.007	ITI	4	Picture	Fixation+	4	12.471	n/a	117.273
91.837	2.006	Cue	4	Picture	Maintain	4	10.449	n/a	122.296
93.843	4.99	Pic	4	Picture	IAPS_49	4	5.459	n/a	124.302
98.833	2.006	Blank	4	Picture	BLANK	4	3.453	n/a	129.292
104.292	n/a	ConfirmRating	4	Response	n/a	4	n/a	7	134.751
104.321	6.002	ITI	5	Picture	Fixation+	2	13.978	n/a	134.78
110.339	2.006	Cue	5	Picture	Enhance	2	11.956	n/a	140.798
112.345	4.99	Pic	5	Picture	IAPS_27	2	6.966	n/a	142.804
117.335	2.006	Blank	5	Picture	BLANK	2	4.96	n/a	147.794
124.301	n/a	ConfirmRating	5	Response	n/a	2	n/a	0	154.76
124.331	4.012	ITI	6	Picture	Fixation+	1	14.724	n/a	154.791
128.36	2.006	Cue	6	Picture	Maintain	1	12.701	n/a	158.819
130.366	4.99	Pic	6	Picture	IAPS_02	1	7.711	n/a	160.825
135.356	2.006	Blank	6	Picture	BLANK	1	5.705	n/a	165.815
143.067	n/a	ConfirmRating	6	Response	n/a	1	n/a	2	173.527
143.099	6.002	ITI	7	Picture	Fixation+	3	13.397	n/a	173.558
149.117	2.006	Cue	7	Picture	Suppress	3	11.374	n/a	179.576
