onset	duration	trial_type	event_type	time_until_response	response_time	trial_number	block_num_within_trial	image_seq_num_within_block	question_seq_num_within_block	image_seq_num	picture_number	condition	question_type	block_type	rating	rating_computed	onset_uncorrected	KDEV_imagefile
0.011	10.014	ITI	Fixation+	109.389	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	59.347	n/a
10.041	0.497	angry	Picture	108.875	n/a	1	1	1	n/a	1	46	2	n/a	n/a	n/a	n/a	69.377	AF09HAS.jpg
10.539	0.514	Blank	Blank	108.361	n/a	1	1	1	n/a	1	n/a	2	n/a	n/a	n/a	n/a	69.874	n/a
11.069	0.497	angry	Picture	107.847	n/a	1	1	2	n/a	2	69	2	n/a	n/a	n/a	n/a	70.405	AM10HAS.jpg
11.566	0.514	Blank	Blank	107.333	n/a	1	1	2	n/a	2	n/a	2	n/a	n/a	n/a	n/a	70.902	n/a
12.097	0.497	angry	Picture	106.819	n/a	1	1	3	n/a	3	71	2	n/a	n/a	n/a	n/a	71.433	BM12HAS.jpg
12.594	0.514	Blank	Blank	106.305	n/a	1	1	3	n/a	3	n/a	2	n/a	n/a	n/a	n/a	71.93	n/a
13.125	0.497	angry	Picture	105.791	n/a	1	1	4	n/a	4	51	2	n/a	n/a	n/a	n/a	72.46	AF20HAS.jpg
13.622	0.514	Blank	Blank	105.277	n/a	1	1	4	n/a	4	n/a	2	n/a	n/a	n/a	n/a	72.958	n/a
14.153	0.497	angry	Picture	104.763	n/a	1	1	5	n/a	5	67	2	n/a	n/a	n/a	n/a	73.488	BM08HAS.jpg
14.65	0.514	Blank	Blank	104.249	n/a	1	1	5	n/a	5	n/a	2	n/a	n/a	n/a	n/a	73.986	n/a
15.181	0.497	angry	Picture	103.735	n/a	1	1	6	n/a	6	60	2	n/a	n/a	n/a	n/a	74.516	AF32HAS.jpg
15.678	0.514	Blank	Blank	103.221	n/a	1	1	6	n/a	6	n/a	2	n/a	n/a	n/a	n/a	75.013	n/a
16.209	0.497	angry	Picture	102.707	n/a	1	1	7	n/a	7	42	2	n/a	n/a	n/a	n/a	75.544	AF03HAS.jpg
16.706	0.514	Blank	Blank	102.193	n/a	1	1	7	n/a	7	n/a	2	n/a	n/a	n/a	n/a	76.041	n/a
17.236	0.497	angry	Picture	101.679	n/a	1	1	8	n/a	8	55	2	n/a	n/a	n/a	n/a	76.572	AF25HAS.jpg
17.734	0.514	Blank	Blank	101.166	n/a	1	1	8	n/a	8	n/a	2	n/a	n/a	n/a	n/a	77.069	n/a
18.264	0.497	angry	Picture	100.652	n/a	1	1	9	n/a	9	72	2	n/a	n/a	n/a	n/a	77.6	AM14HAS.jpg
18.762	0.514	Blank	Blank	100.138	n/a	1	1	9	n/a	9	n/a	2	n/a	n/a	n/a	n/a	78.097	n/a
19.292	0.497	angry	Picture	99.624	n/a	1	1	10	n/a	10	63	2	n/a	n/a	n/a	n/a	78.628	AM04HAS.jpg
19.79	0.514	Blank	Blank	99.11	n/a	1	1	10	n/a	10	n/a	2	n/a	n/a	n/a	n/a	79.125	n/a
20.32	0.497	angry	Picture	98.596	n/a	1	1	11	n/a	11	58	2	n/a	n/a	n/a	n/a	79.656	BF29HAS.jpg
20.817	0.514	Blank	Blank	98.082	n/a	1	1	11	n/a	11	n/a	2	n/a	n/a	n/a	n/a	80.153	n/a
21.348	0.497	angry	Picture	97.568	n/a	1	1	12	n/a	12	48	2	n/a	n/a	n/a	n/a	80.683	AF14HAS.jpg
21.845	0.514	Blank	Blank	97.054	n/a	1	1	12	n/a	12	n/a	2	n/a	n/a	n/a	n/a	81.181	n/a
22.376	0.497	angry	Picture	96.54	n/a	1	1	13	n/a	13	66	2	n/a	n/a	n/a	n/a	81.711	BM07HAS.jpg
22.873	0.514	Blank	Blank	96.026	n/a	1	1	13	n/a	13	n/a	2	n/a	n/a	n/a	n/a	82.209	n/a
23.404	0.497	angry	Picture	95.512	n/a	1	1	14	n/a	14	70	2	n/a	n/a	n/a	n/a	82.739	BM11HAS.jpg
23.901	0.514	Blank	Blank	94.998	n/a	1	1	14	n/a	14	n/a	2	n/a	n/a	n/a	n/a	83.237	n/a
24.432	0.497	angry	Picture	94.484	n/a	1	1	15	n/a	15	43	2	n/a	n/a	n/a	n/a	83.767	BF04HAS.jpg
24.929	0.514	Blank	Blank	93.97	n/a	1	1	15	n/a	15	n/a	2	n/a	n/a	n/a	n/a	84.264	n/a
25.459	0.497	angry	Picture	93.456	n/a	1	1	16	n/a	16	49	2	n/a	n/a	n/a	n/a	84.795	AF17HAS.jpg
25.957	0.514	Blank	Blank	92.942	n/a	1	1	16	n/a	16	n/a	2	n/a	n/a	n/a	n/a	85.292	n/a
26.487	0.497	angry	Picture	92.429	n/a	1	1	17	n/a	17	75	2	n/a	n/a	n/a	n/a	85.823	AM23HAS.jpg
26.985	0.514	Blank	Blank	91.915	n/a	1	1	17	n/a	17	n/a	2	n/a	n/a	n/a	n/a	86.32	n/a
27.515	0.497	angry	Picture	91.401	n/a	1	1	18	n/a	18	80	2	n/a	n/a	n/a	n/a	86.851	BM35HAS.jpg
