onset	duration	response_time
17.5	n/a	0.246
23.8	n/a	0.185
33.5	n/a	0.193
41.9	n/a	0.183
46.4	n/a	0.215
51.9	n/a	0.177
60.7	n/a	0.179
67.3	n/a	0.211
71.6	n/a	0.184
75.2	n/a	0.285
79.6	n/a	0.001
82.0	n/a	0.307
85.2	n/a	0.181
89.9	n/a	0.200
92.2	n/a	0.228
95.4	n/a	0.181
105.2	n/a	0.176
107.6	n/a	0.304
114.1	n/a	0.194
122.3	n/a	0.163
130.1	n/a	0.218
134.2	n/a	0.226
140.7	n/a	0.173
150.2	n/a	0.177
154.6	n/a	0.226
157.6	n/a	0.240
160.3	n/a	0.314
165.4	n/a	0.187
174.4	n/a	0.196
181.1	n/a	0.001
184.2	n/a	0.192
189.3	n/a	0.189
192.3	n/a	0.240
201.2	n/a	0.177
206.8	n/a	0.197
209.3	n/a	0.268
211.6	n/a	0.001
214.1	n/a	0.281
223.9	n/a	0.183
228.7	n/a	0.189
237.8	n/a	0.234
244.2	n/a	0.256
247.1	n/a	0.319
255.9	n/a	0.166
265.1	n/a	0.171
270.9	n/a	0.199
276.2	n/a	0.178
280.4	n/a	0.225
285.7	n/a	0.156
288.6	n/a	0.230
293.3	n/a	0.174
297.1	n/a	0.154
