onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
0.014	10.014	Instruction	-1	Picture	Instruction	n/a	n/a	n/a	30.632
10.044	5.007	ITI	0	Picture	Fixation+	1	12.01	n/a	40.663
15.067	2.006	Cue	0	Picture	Maintain	1	9.987	n/a	45.686
17.073	4.99	Pic	0	Picture	IAPS_01	1	4.997	n/a	47.692
22.064	2.006	Blank	0	Picture	BLANK	1	2.991	n/a	52.682
27.061	n/a	ConfirmRating	0	Response	n/a	1	n/a	7	57.679
27.087	6.002	ITI	1	Picture	Fixation+	2	10.751	n/a	57.706
33.105	2.006	Cue	1	Picture	Enhance	2	8.729	n/a	63.724
35.111	4.99	Pic	1	Picture	IAPS_26	2	3.738	n/a	65.73
40.101	2.006	Blank	1	Picture	BLANK	2	1.732	n/a	70.72
43.84	n/a	ConfirmRating	1	Response	n/a	2	n/a	5	74.458
43.865	4.012	ITI	2	Picture	Fixation+	3	10.543	n/a	74.483
47.893	2.006	Cue	2	Picture	Suppress	3	8.52	n/a	78.512
49.899	4.99	Pic	2	Picture	IAPS_36	3	3.53	n/a	80.518
54.89	2.006	Blank	2	Picture	BLANK	3	1.524	n/a	85.508
58.419	n/a	ConfirmRating	2	Response	n/a	3	n/a	0	89.038
58.438	5.007	ITI	3	Picture	Fixation+	4	10.19	n/a	89.056
63.461	2.006	Cue	3	Picture	Maintain	4	8.167	n/a	94.079
65.467	4.99	Pic	3	Picture	IAPS_46	4	3.177	n/a	96.085
70.457	2.006	Blank	3	Picture	BLANK	4	1.171	n/a	101.076
73.634	n/a	ConfirmRating	3	Response	n/a	4	n/a	7	104.253
73.657	5.007	ITI	4	Picture	Fixation+	4	10.594	n/a	104.275
78.68	2.006	Cue	4	Picture	Maintain	4	8.572	n/a	109.299
80.686	4.99	Pic	4	Picture	IAPS_49	4	3.581	n/a	111.305
85.677	2.006	Blank	4	Picture	BLANK	4	1.575	n/a	116.295
89.258	n/a	ConfirmRating	4	Response	n/a	4	n/a	7	119.876
89.291	6.002	ITI	5	Picture	Fixation+	2	10.676	n/a	119.909
95.309	2.006	Cue	5	Picture	Enhance	2	8.654	n/a	125.927
97.315	4.99	Pic	5	Picture	IAPS_27	2	3.664	n/a	127.933
102.305	2.006	Blank	5	Picture	BLANK	2	1.658	n/a	132.923
105.969	n/a	ConfirmRating	5	Response	n/a	2	n/a	2	136.587
105.986	4.012	ITI	6	Picture	Fixation+	1	10.523	n/a	136.604
110.014	2.006	Cue	6	Picture	Maintain	1	8.5	n/a	140.633
112.02	4.99	Pic	6	Picture	IAPS_02	1	3.51	n/a	142.639
117.01	2.006	Blank	6	Picture	BLANK	1	1.504	n/a	147.629
120.521	n/a	ConfirmRating	6	Response	n/a	1	n/a	7	151.139
120.542	6.002	ITI	7	Picture	Fixation+	3	10.377	n/a	151.16
126.56	2.006	Cue	7	Picture	Suppress	3	8.354	n/a	157.178
128.566	4.99	Pic	7	Picture	IAPS_37	3	3.364	n/a	159.184
133.556	2.006	Blank	7	Picture	BLANK	3	1.358	n/a	164.175
136.92	n/a	ConfirmRating	7	Response	n/a	3	n/a	6	167.539
136.938	5.007	ITI	8	Picture	Fixation+	4	10.404	n/a	167.557
141.962	2.006	Cue	8	Picture	Maintain	4	8.381	n/a	172.58
143.968	4.99	Pic	8	Picture	IAPS_52	4	3.391	n/a	174.586
148.958	2.006	Blank	8	Picture	BLANK	4	1.385	n/a	179.576
152.349	n/a	ConfirmRating	8	Response	n/a	4	n/a	7	182.968
152.373	6.002	ITI	9	Picture	Fixation+	1	10.409	n/a	182.992
158.391	2.006	Cue	9	Picture	Maintain	1	8.387	n/a	189.01
160.397	4.99	Pic	9	Picture	IAPS_03	1	3.396	n/a	191.016
165.387	2.006	Blank	9	Picture	BLANK	1	1.39	n/a	196.006
168.784	n/a	ConfirmRating	9	Response	n/a	1	n/a	7	199.402
168.803	5.007	ITI	10	Picture	Fixation+	2	10.773	n/a	199.421
173.826	2.006	Cue	10	Picture	Enhance	2	8.75	n/a	204.445
175.832	4.99	Pic	10	Picture	IAPS_28	2	3.76	n/a	206.451
180.822	2.006	Blank	10	Picture	BLANK	2	1.754	n/a	211.441
184.582	n/a	ConfirmRating	10	Response	n/a	2	n/a	5	215.201
184.602	4.012	ITI	11	Picture	Fixation+	3	10.032	n/a	215.221
188.631	2.006	Cue	11	Picture	Suppress	3	8.009	n/a	219.249
190.637	4.99	Pic	11	Picture	IAPS_38	3	3.019	n/a	221.255
195.627	2.006	Blank	11	Picture	BLANK	3	1.013	n/a	226.246
198.646	n/a	ConfirmRating	11	Response	n/a	3	n/a	3	229.265
198.678	6.002	ITI	12	Picture	Fixation+	2	10.014	n/a	229.296
204.696	2.006	Cue	12	Picture	Enhance	2	7.991	n/a	235.314
