onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.207	04:41:19	1	10690	1	1	2	16	9	n/a	n/a	n/a	n/a	n/a	n/a	9,1	1
5.0	n/a	4.442	04:41:24	1	24601	2	2	6	12	1	10	8	13	5	n/a	n/a	2,2	1
19.0	n/a	1.347	04:41:38	1	29789	3	3	2	2	5	n/a	n/a	n/a	n/a	n/a	n/a	7,1	1
24.0	n/a	2.886	04:41:43	1	42147	4	4	6	7	6	13	2	15	11	n/a	n/a	1,6	1
36.0	n/a	1.74	04:41:55	1	47745	5	5	2	12	16	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
42.0	n/a	3.813	04:42:01	1	61032	6	6	6	6	1	14	16	15	3	n/a	n/a	14,3	0
55.0	n/a	1.245	04:42:14	1	71740	7	7	6	9	6	2	1	14	13	n/a	n/a	12,5	1
66.0	n/a	1.349	04:42:25	1	82558	8	8	6	14	9	2	16	1	4	n/a	n/a	16,1	1
77.0	n/a	1.28	04:42:36	1	87681	9	9	2	11	12	n/a	n/a	n/a	n/a	n/a	n/a	6,1	1
82.0	n/a	1.279	04:42:41	1	92804	10	10	2	3	1	n/a	n/a	n/a	n/a	n/a	n/a	5,1	1
87.0	n/a	1.051	04:42:46	1	97696	11	11	2	14	10	n/a	n/a	n/a	n/a	n/a	n/a	15,2	1
92.0	n/a	3.195	04:42:51	1	110365	12	12	6	8	9	3	13	5	4	n/a	n/a	9,2	0
