onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.641	04:40:51	1	11123	1	1	2	10	16	n/a	n/a	n/a	n/a	n/a	n/a	16,2	1
5.0	n/a	1.3	04:40:56	1	16267	2	2	2	4	14	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
10.0	n/a	1.151	04:41:01	1	21259	3	3	2	13	7	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
15.0	n/a	2.016	04:41:06	1	32738	4	4	6	7	16	5	4	3	1	n/a	n/a	1,3	1
27.0	n/a	3.237	04:41:18	1	45449	5	5	6	9	7	2	1	11	16	n/a	n/a	9,1	1
40.0	n/a	1.585	04:41:31	1	50892	6	6	2	16	7	n/a	n/a	n/a	n/a	n/a	n/a	9,2	1
45.0	n/a	3.687	04:41:36	1	64051	7	7	6	9	15	1	10	12	2	n/a	n/a	6,5	1
58.0	n/a	1.71	04:41:49	1	75224	8	8	6	8	16	15	9	12	11	n/a	n/a	9,4	0
69.0	n/a	1.404	04:42:00	1	80476	9	9	2	12	14	n/a	n/a	n/a	n/a	n/a	n/a	9,1	1
75.0	n/a	1.728	04:42:06	1	91667	10	10	6	9	2	8	7	15	11	n/a	n/a	14,5	1
86.0	n/a	1.326	04:42:17	1	96834	11	11	2	13	5	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
91.0	n/a	1.436	04:42:22	1	107738	12	12	6	9	8	13	5	2	7	n/a	n/a	2,5	1
