onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.416	06:10:31	1	10934	1	1	2	5	6	n/a	n/a	n/a	n/a	n/a	n/a	9,1	1
0.0	n/a	1.416	06:10:31	1	10934	1	1	2	5	6	n/a	n/a	n/a	n/a	n/a	n/a	9,1	1
5.0	n/a	1.364	06:10:36	1	16129	2	2	2	4	10	n/a	n/a	n/a	n/a	n/a	n/a	3,1	1
5.0	n/a	1.364	06:10:36	1	16129	2	2	2	4	10	n/a	n/a	n/a	n/a	n/a	n/a	3,1	1
10.0	n/a	1.598	06:10:41	1	27172	3	3	6	3	9	10	11	6	4	n/a	n/a	14,2	1
10.0	n/a	1.598	06:10:41	1	27172	3	3	6	3	9	10	11	6	4	n/a	n/a	14,2	1
21.0	n/a	2.268	06:10:52	1	33264	4	4	2	14	13	n/a	n/a	n/a	n/a	n/a	n/a	14,1	1
21.0	n/a	2.268	06:10:52	1	33264	4	4	2	14	13	n/a	n/a	n/a	n/a	n/a	n/a	14,1	1
27.0	n/a	1.681	06:10:58	1	44389	5	5	6	7	16	3	6	13	2	n/a	n/a	13,6	1
27.0	n/a	1.681	06:10:58	1	44389	5	5	6	7	16	3	6	13	2	n/a	n/a	13,6	1
39.0	n/a	3.154	06:11:10	1	56984	6	6	6	10	8	11	2	1	7	n/a	n/a	11,3	0
39.0	n/a	3.154	06:11:10	1	56984	6	6	6	10	8	11	2	1	7	n/a	n/a	11,3	0
51.0	n/a	1.835	06:11:22	1	68285	7	7	6	15	9	11	12	3	14	n/a	n/a	9,2	1
51.0	n/a	1.835	06:11:22	1	68285	7	7	6	15	9	11	12	3	14	n/a	n/a	9,2	1
62.0	n/a	2.323	06:11:33	1	80071	8	8	6	4	13	16	6	5	14	n/a	n/a	8,1	1
62.0	n/a	2.323	06:11:33	1	80071	8	8	6	4	13	16	6	5	14	n/a	n/a	8,1	1
74.0	n/a	1.538	06:11:45	1	85439	9	9	2	13	10	n/a	n/a	n/a	n/a	n/a	n/a	9,2	1
74.0	n/a	1.538	06:11:45	1	85439	9	9	2	13	10	n/a	n/a	n/a	n/a	n/a	n/a	9,2	1
80.0	n/a	1.456	06:11:51	1	90720	10	10	2	12	5	n/a	n/a	n/a	n/a	n/a	n/a	16,1	0
80.0	n/a	1.456	06:11:51	1	90720	10	10	2	12	5	n/a	n/a	n/a	n/a	n/a	n/a	16,1	0
85.0	n/a	1.432	06:11:56	1	95976	11	11	2	11	8	n/a	n/a	n/a	n/a	n/a	n/a	10,2	1
85.0	n/a	1.432	06:11:56	1	95976	11	11	2	11	8	n/a	n/a	n/a	n/a	n/a	n/a	10,2	1
90.0	n/a	1.426	06:12:01	1	106843	12	12	6	5	14	4	8	11	3	n/a	n/a	3,6	1
90.0	n/a	1.426	06:12:01	1	106843	12	12	6	5	14	4	8	11	3	n/a	n/a	3,6	1
