onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.502	05:08:32	1	16602	1	1	6	3	4	13	2	16	15	n/a	n/a	3,1	1
11.0	n/a	5.438	05:08:43	1	31511	2	2	6	6	12	13	8	10	1	n/a	n/a	13,3	0
26.0	n/a	1.666	05:08:58	1	37041	3	3	2	10	4	n/a	n/a	n/a	n/a	n/a	n/a	13,2	1
31.0	n/a	1.601	05:09:03	1	42488	4	4	2	13	3	n/a	n/a	n/a	n/a	n/a	n/a	3,2	1
37.0	n/a	1.163	05:09:09	1	47510	5	5	2	5	13	n/a	n/a	n/a	n/a	n/a	n/a	5,1	1
42.0	n/a	2.884	05:09:14	1	59856	6	6	6	4	1	7	16	9	5	n/a	n/a	16,4	0
54.0	n/a	1.473	05:09:26	1	65170	7	7	2	1	5	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
59.0	n/a	2.695	05:09:31	1	77337	8	8	6	5	14	13	10	3	15	n/a	n/a	2,4	0
72.0	n/a	1.617	05:09:44	1	88912	9	9	6	2	11	15	5	10	13	n/a	n/a	5,4	1
83.0	n/a	1.413	05:09:55	1	94164	10	10	2	9	3	n/a	n/a	n/a	n/a	n/a	n/a	16,2	1
88.0	n/a	3.078	05:10:00	1	106716	11	11	6	14	6	7	13	1	10	n/a	n/a	1,5	1
101.0	n/a	1.313	05:10:13	1	111892	12	12	2	2	4	n/a	n/a	n/a	n/a	n/a	n/a	10,2	1
