onset	duration	condition
4.2769	3.5	Nopain
9.7976	4.2585	Rate
12.4632	0.243	MoveCursorLeft
12.8562	0.245	MoveCursorLeft
13.2712	0.271	MoveCursorLeft
14.0561	0	Respond
18.8496	3.5	Nopain
24.3704	2.6916	Rate
26.105	0.289	MoveCursorLeft
27.062	0	Respond
31.7811	3.5	Pain
37.2977	4.655	Rate
38.1698	0.254	MoveCursorLeft
38.6088	0.182	MoveCursorLeft
38.9358	0.211	MoveCursorLeft
39.2808	0.227	MoveCursorLeft
39.6268	0.202	MoveCursorLeft
40.1268	0.214	MoveCursorLeft
40.5868	0.19	MoveCursorLeft
41.4038	0.125	MoveCursorRight
41.9527	0	Respond
46.9175	3.5	Nopain
52.4382	2.1874	Rate
54.6256	0	Respond
59.3018	3.5	Pain
64.8225	2.9199	Rate
65.4224	0.257	MoveCursorLeft
65.8584	0.205	MoveCursorLeft
66.2424	0.208	MoveCursorLeft
66.6084	0.198	MoveCursorLeft
67.0374	0.176	MoveCursorLeft
67.7424	0	Respond
73.4435	3.5	Nopain
78.9642	2.948	Rate
79.6512	0.286	MoveCursorLeft
80.3062	0.233	MoveCursorLeft
81.9122	0	Respond
86.2091	3.5	Pain
91.7299	5.656	Rate
92.351	0.225	MoveCursorLeft
92.763	0.224	MoveCursorLeft
93.139	0.262	MoveCursorLeft
93.528	0.241	MoveCursorLeft
93.919	0.223	MoveCursorLeft
94.346	0.169	MoveCursorLeft
95.288	0.145	MoveCursorLeft
96.099	0.139	MoveCursorRight
97.3859	0	Respond
103.0697	3.5	Pain
108.5905	3.3182	Rate
109.1898	1.191	MoveCursorLeft
110.6738	0.388	MoveCursorLeft
111.9087	0	Respond
116.9296	3.5	Nopain
122.4503	2.0843	Rate
123.7316	0.161	MoveCursorLeft
124.5346	0	Respond
129.4134	3.5	Pain
134.9341	6.5932	Rate
135.5064	0.9809	MoveCursorLeft
136.9164	0.179	MoveCursorLeft
137.8944	0.146	MoveCursorRight
138.6664	0.1409	MoveCursorLeft
140.7133	0.134	MoveCursorRight
141.5273	0	Respond
146.7216	3.5	Nopain
152.2423	1.3109	Rate
153.5532	0	Respond
158.5754	3.5	Pain
164.0961	3.2099	Rate
167.306	0	Respond
172.6176	3.5	Nopain
178.1384	3.6073	Rate
179.1438	1.8009	MoveCursorLeft
181.7457	0	Respond
187.1904	3.5	Pain
192.7111	2.9764	Rate
193.7576	0.1919	MoveCursorLeft
195.6875	0	Respond
199.8731	3.5	Nopain
205.3938	2.0656	Rate
205.9744	1.164	MoveCursorLeft
207.4594	0	Respond
212.3569	3.5	Nopain
217.8776	2.2896	Rate
218.3932	1.405	MoveCursorLeft
220.1672	0	Respond
226.0012	3.5	Pain
231.522	2.304	Rate
232.181	0.217	MoveCursorLeft
232.569	0.231	MoveCursorLeft
232.963	0.144	MoveCursorLeft
233.826	0	Respond
238.8664	3.5	Nopain
244.3871	2.1817	Rate
244.9578	1.244	MoveCursorLeft
246.5688	0	Respond
250.8694	3.5	Pain
256.3901	3.6945	Rate
257.0306	0.231	MoveCursorLeft
257.5446	0.144	MoveCursorLeft
260.0846	0	Respond
265.4421	3.5	Pain
270.9628	3.0526	Rate
271.7655	1.0289	MoveCursorLeft
273.1284	0.23	MoveCursorLeft
274.0154	0	Respond
274.0465	15	Rest
293.7089	3.5	Nopain
299.2296	2.2304	Rate
300.298	0.892	MoveCursorLeft
301.46	0	Respond
306.889	3.5	Pain
312.4097	2.8861	Rate
313.6199	0.1739	MoveCursorRight
314.5268	0.141	MoveCursorLeft
315.2958	0	Respond
320.2183	3.5	Nopain
325.7391	2.5295	Rate
326.3726	1.613	MoveCursorLeft
328.2686	0	Respond
333.2161	3.5	Pain
338.7368	3.1546	Rate
339.2184	1.213	MoveCursorLeft
341.0124	0.13	MoveCursorLeft
341.8914	0	Respond
346.7278	3.5	Pain
352.2485	5.7497	Rate
352.9323	1.0309	MoveCursorLeft
354.2252	0.162	MoveCursorLeft
355.8702	0.144	MoveCursorLeft
356.7052	0.141	MoveCursorRight
357.9982	0	Respond
362.4942	3.5	Nopain
368.0149	1.4431	Rate
368.6611	0.6249	MoveCursorLeft
369.458	0	Respond
373.9998	3.5	Pain
379.5206	4.0262	Rate
380.2379	0.6369	MoveCursorLeft
381.2428	0.158	MoveCursorLeft
382.2688	0.131	MoveCursorRight
382.9068	0.105	MoveCursorLeft
383.5468	0	Respond
388.9539	3.5	Nopain
394.4746	2.332	Rate
395.5237	0.2829	MoveCursorLeft
396.2906	0.213	MoveCursorLeft
396.8066	0	Respond
401.189	3.5	Nopain
406.7097	2.3317	Rate
407.2705	1.3779	MoveCursorLeft
409.0414	0	Respond
414.4023	3.5	Pain
419.923	4.2392	Rate
421.6533	1.1109	MoveCursorLeft
423.0022	0.181	MoveCursorLeft
423.3692	0.166	MoveCursorLeft
424.1622	0	Respond
428.5605	3.5	Nopain
434.0813	1.9598	Rate
