onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.448	04:46:24	1	10912	1	1	2	11	14	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
5.0	n/a	1.101	04:46:29	1	21472	2	2	6	8	14	6	2	3	16	n/a	n/a	14,2	1
16.0	n/a	1.69	04:46:40	1	32642	3	3	6	8	7	1	16	14	5	n/a	n/a	1,3	1
27.0	n/a	0.991	04:46:51	1	37491	4	4	2	9	2	n/a	n/a	n/a	n/a	n/a	n/a	2,2	1
32.0	n/a	1.404	04:46:56	1	48359	5	5	6	6	16	8	7	12	3	n/a	n/a	2,3	1
43.0	n/a	0.912	04:47:07	1	53124	6	6	2	14	1	n/a	n/a	n/a	n/a	n/a	n/a	14,1	1
47.0	n/a	1.301	04:47:11	1	63892	7	7	6	10	11	2	8	3	14	n/a	n/a	10,3	1
58.0	n/a	1.164	04:47:22	1	68903	8	8	2	4	16	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
63.0	n/a	1.182	04:47:27	1	73928	9	9	2	1	2	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
68.0	n/a	1.152	04:47:32	1	84554	10	10	6	11	5	2	7	9	8	n/a	n/a	13,6	1
79.0	n/a	1.661	04:47:43	1	95676	11	11	6	10	1	13	3	14	5	n/a	n/a	11,1	1
90.0	n/a	1.163	04:47:54	1	100689	12	12	2	4	11	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
