onset	duration	trial_type	event_type	time_until_response	response_time	trial_number	block_num_within_trial	image_seq_num_within_block	question_seq_num_within_block	image_seq_num	picture_number	condition	question_type	block_type	rating	rating_computed	onset_uncorrected	KDEV_imagefile
0.016	10.014	ITI	Fixation+	99.474	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	32.025	n/a
10.046	0.497	angry	Picture	98.96	n/a	1	1	1	n/a	1	108	3	n/a	n/a	n/a	n/a	42.055	AM09ANS.jpg
10.544	0.514	Blank	Blank	98.446	n/a	1	1	1	n/a	1	n/a	3	n/a	n/a	n/a	n/a	42.552	n/a
11.074	0.497	angry	Picture	97.932	n/a	1	1	2	n/a	2	99	3	n/a	n/a	n/a	n/a	43.083	AF31ANS.jpg
11.572	0.514	Blank	Blank	97.418	n/a	1	1	2	n/a	2	n/a	3	n/a	n/a	n/a	n/a	43.58	n/a
12.102	0.497	angry	Picture	96.904	n/a	1	1	3	n/a	3	98	3	n/a	n/a	n/a	n/a	44.111	BF29ANS.jpg
12.599	0.514	Blank	Blank	96.39	n/a	1	1	3	n/a	3	n/a	3	n/a	n/a	n/a	n/a	44.608	n/a
13.13	0.497	angry	Picture	95.876	n/a	1	1	4	n/a	4	107	3	n/a	n/a	n/a	n/a	45.139	BM08ANS.jpg
13.627	0.514	Blank	Blank	95.362	n/a	1	1	4	n/a	4	n/a	3	n/a	n/a	n/a	n/a	45.636	n/a
14.158	0.497	angry	Picture	94.848	n/a	1	1	5	n/a	5	104	3	n/a	n/a	n/a	n/a	46.166	BM05ANS.jpg
14.655	0.514	Blank	Blank	94.335	n/a	1	1	5	n/a	5	n/a	3	n/a	n/a	n/a	n/a	46.664	n/a
15.186	0.497	angry	Picture	93.82	n/a	1	1	6	n/a	6	101	3	n/a	n/a	n/a	n/a	47.194	AM01ANS.jpg
15.683	0.514	Blank	Blank	93.307	n/a	1	1	6	n/a	6	n/a	3	n/a	n/a	n/a	n/a	47.692	n/a
16.214	0.497	angry	Picture	92.793	n/a	1	1	7	n/a	7	103	3	n/a	n/a	n/a	n/a	48.222	AM04ANS.jpg
16.711	0.514	Blank	Blank	92.279	n/a	1	1	7	n/a	7	n/a	3	n/a	n/a	n/a	n/a	48.72	n/a
17.242	0.497	angry	Picture	91.765	n/a	1	1	8	n/a	8	111	3	n/a	n/a	n/a	n/a	49.25	BM12ANS.jpg
17.739	0.514	Blank	Blank	91.251	n/a	1	1	8	n/a	8	n/a	3	n/a	n/a	n/a	n/a	49.748	n/a
18.269	0.497	angry	Picture	90.737	n/a	1	1	9	n/a	9	110	3	n/a	n/a	n/a	n/a	50.278	AM11ANS.jpg
18.767	0.514	Blank	Blank	90.223	n/a	1	1	9	n/a	9	n/a	3	n/a	n/a	n/a	n/a	50.775	n/a
19.297	0.497	angry	Picture	89.709	n/a	1	1	10	n/a	10	85	3	n/a	n/a	n/a	n/a	51.306	BF07ANS.jpg
19.795	0.514	Blank	Blank	89.195	n/a	1	1	10	n/a	10	n/a	3	n/a	n/a	n/a	n/a	51.803	n/a
20.325	0.497	angry	Picture	88.681	n/a	1	1	11	n/a	11	87	3	n/a	n/a	n/a	n/a	52.334	BF11ANS.jpg
20.823	0.514	Blank	Blank	88.167	n/a	1	1	11	n/a	11	n/a	3	n/a	n/a	n/a	n/a	52.831	n/a
21.353	0.497	angry	Picture	87.653	n/a	1	1	12	n/a	12	91	3	n/a	n/a	n/a	n/a	53.362	AF20ANS.jpg
21.85	0.514	Blank	Blank	87.139	n/a	1	1	12	n/a	12	n/a	3	n/a	n/a	n/a	n/a	53.859	n/a
22.381	0.497	angry	Picture	86.625	n/a	1	1	13	n/a	13	115	3	n/a	n/a	n/a	n/a	54.39	AM23ANS.jpg
22.878	0.514	Blank	Blank	86.111	n/a	1	1	13	n/a	13	n/a	3	n/a	n/a	n/a	n/a	54.887	n/a
23.409	0.497	angry	Picture	85.597	n/a	1	1	14	n/a	14	97	3	n/a	n/a	n/a	n/a	55.417	BF28ANS.jpg
23.906	0.514	Blank	Blank	85.084	n/a	1	1	14	n/a	14	n/a	3	n/a	n/a	n/a	n/a	55.915	n/a
24.437	0.497	angry	Picture	84.57	n/a	1	1	15	n/a	15	82	3	n/a	n/a	n/a	n/a	56.445	AF03ANS.jpg
24.934	0.514	Blank	Blank	84.056	n/a	1	1	15	n/a	15	n/a	3	n/a	n/a	n/a	n/a	56.943	n/a
25.465	0.497	angry	Picture	83.542	n/a	1	1	16	n/a	16	96	3	n/a	n/a	n/a	n/a	57.473	AF26ANS.jpg
25.962	0.514	Blank	Blank	83.028	n/a	1	1	16	n/a	16	n/a	3	n/a	n/a	n/a	n/a	57.971	n/a
26.492	0.497	angry	Picture	82.514	n/a	1	1	17	n/a	17	109	3	n/a	n/a	n/a	n/a	58.501	AM10ANS.jpg
26.99	0.514	Blank	Blank	82.0	n/a	1	1	17	n/a	17	n/a	3	n/a	n/a	n/a	n/a	58.998	n/a
27.52	0.497	angry	Picture	81.486	n/a	1	1	18	n/a	18	114	3	n/a	n/a	n/a	n/a	59.529	AM22ANS.jpg
28.018	0.514	Blank	Blank	80.972	n/a	1	1	18	n/a	18	n/a	3	n/a	n/a	n/a	n/a	60.026	n/a
28.548	0.497	angry	Picture	80.458	n/a	1	1	19	n/a	19	120	3	n/a	n/a	n/a	n/a	60.557	AM35ANS.jpg
29.046	0.514	Blank	Blank	79.944	n/a	1	1	19	n/a	19	n/a	3	n/a	n/a	n/a	n/a	61.054	n/a
29.576	0.497	angry	Picture	79.43	n/a	1	1	20	n/a	20	81	3	n/a	n/a	n/a	n/a	61.585	AF01ANS.jpg
30.073	0.514	Blank	Blank	78.916	n/a	1	1	20	n/a	20	n/a	3	n/a	n/a	n/a	n/a	62.082	n/a
30.604	10.014	ITI	Fixation+	68.886	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	62.613	n/a
40.634	0.497	neutral	Picture	68.372	n/a	1	2	1	n/a	21	28	1	n/a	n/a	n/a	n/a	72.643	AM09NES.jpg
41.131	0.514	Blank	Blank	67.858	n/a	1	2	1	n/a	21	n/a	1	n/a	n/a	n/a	n/a	73.14	n/a
41.662	0.497	neutral	Picture	67.344	n/a	1	2	2	n/a	22	27	1	n/a	n/a	n/a	n/a	73.671	BM08NES.jpg
42.159	0.514	Blank	Blank	66.83	n/a	1	2	2	n/a	22	n/a	1	n/a	n/a	n/a	n/a	74.168	n/a
42.69	0.497	neutral	Picture	66.316	n/a	1	2	3	n/a	23	16	1	n/a	n/a	n/a	n/a	74.699	AF26NES.jpg
43.187	0.514	Blank	Blank	65.802	n/a	1	2	3	n/a	23	n/a	1	n/a	n/a	n/a	n/a	75.196	n/a
43.718	0.497	neutral	Picture	65.288	n/a	1	2	4	n/a	24	3	1	n/a	n/a	n/a	n/a	75.727	BF04NES.jpg
44.215	0.514	Blank	Blank	64.775	n/a	1	2	4	n/a	24	n/a	1	n/a	n/a	n/a	n/a	76.224	n/a
44.746	0.497	neutral	Picture	64.261	n/a	1	2	5	n/a	25	32	1	n/a	n/a	n/a	n/a	76.754	AM14NES.jpg
45.243	0.514	Blank	Blank	63.747	n/a	1	2	5	n/a	25	n/a	1	n/a	n/a	n/a	n/a	77.252	n/a
45.774	0.497	neutral	Picture	63.233	n/a	1	2	6	n/a	26	37	1	n/a	n/a	n/a	n/a	77.782	BM25NES.jpg
46.271	0.514	Blank	Blank	62.719	n/a	1	2	6	n/a	26	n/a	1	n/a	n/a	n/a	n/a	78.28	n/a
46.801	0.497	neutral	Picture	62.205	n/a	1	2	7	n/a	27	15	1	n/a	n/a	n/a	n/a	78.81	AF25NES.jpg
47.299	0.514	Blank	Blank	61.691	n/a	1	2	7	n/a	27	n/a	1	n/a	n/a	n/a	n/a	79.308	n/a
47.829	0.497	neutral	Picture	61.177	n/a	1	2	8	n/a	28	23	1	n/a	n/a	n/a	n/a	79.838	AM04NES.jpg
48.327	0.514	Blank	Blank	60.663	n/a	1	2	8	n/a	28	n/a	1	n/a	n/a	n/a	n/a	80.335	n/a
48.857	0.497	neutral	Picture	60.149	n/a	1	2	9	n/a	29	34	1	n/a	n/a	n/a	n/a	80.866	AM22NES.jpg
49.355	0.514	Blank	Blank	59.635	n/a	1	2	9	n/a	29	n/a	1	n/a	n/a	n/a	n/a	81.363	n/a
49.885	0.497	neutral	Picture	59.121	n/a	1	2	10	n/a	30	24	1	n/a	n/a	n/a	n/a	81.894	BM05NES.jpg
50.382	0.514	Blank	Blank	58.607	n/a	1	2	10	n/a	30	n/a	1	n/a	n/a	n/a	n/a	82.391	n/a
50.913	0.497	neutral	Picture	58.093	n/a	1	2	11	n/a	31	12	1	n/a	n/a	n/a	n/a	82.922	AF21NES.jpg
51.41	0.514	Blank	Blank	57.579	n/a	1	2	11	n/a	31	n/a	1	n/a	n/a	n/a	n/a	83.419	n/a
51.941	0.497	neutral	Picture	57.065	n/a	1	2	12	n/a	32	6	1	n/a	n/a	n/a	n/a	83.95	AF09NES.jpg
52.438	0.514	Blank	Blank	56.552	n/a	1	2	12	n/a	32	n/a	1	n/a	n/a	n/a	n/a	84.447	n/a
52.969	0.497	neutral	Picture	56.038	n/a	1	2	13	n/a	33	17	1	n/a	n/a	n/a	n/a	84.977	BF28NES.jpg
53.466	0.514	Blank	Blank	55.524	n/a	1	2	13	n/a	33	n/a	1	n/a	n/a	n/a	n/a	85.475	n/a
53.997	0.497	neutral	Picture	55.01	n/a	1	2	14	n/a	34	2	1	n/a	n/a	n/a	n/a	86.005	AF03NES.jpg
54.494	0.514	Blank	Blank	54.496	n/a	1	2	14	n/a	34	n/a	1	n/a	n/a	n/a	n/a	86.503	n/a
55.024	0.497	neutral	Picture	53.982	n/a	1	2	15	n/a	35	9	1	n/a	n/a	n/a	n/a	87.033	AF17NES.jpg
55.522	0.514	Blank	Blank	53.468	n/a	1	2	15	n/a	35	n/a	1	n/a	n/a	n/a	n/a	87.531	n/a
56.052	0.497	neutral	Picture	52.954	n/a	1	2	16	n/a	36	25	1	n/a	n/a	n/a	n/a	88.061	BM06NES.jpg
56.55	0.514	Blank	Blank	52.44	n/a	1	2	16	n/a	36	n/a	1	n/a	n/a	n/a	n/a	88.558	n/a
57.08	0.497	neutral	Picture	51.926	n/a	1	2	17	n/a	37	8	1	n/a	n/a	n/a	n/a	89.089	AF14NES.jpg
57.578	0.514	Blank	Blank	51.412	n/a	1	2	17	n/a	37	n/a	1	n/a	n/a	n/a	n/a	89.586	n/a
58.108	0.497	neutral	Picture	50.898	n/a	1	2	18	n/a	38	19	1	n/a	n/a	n/a	n/a	90.117	AF31NES.jpg
58.605	0.514	Blank	Blank	50.384	n/a	1	2	18	n/a	38	n/a	1	n/a	n/a	n/a	n/a	90.614	n/a
59.136	0.497	neutral	Picture	49.87	n/a	1	2	19	n/a	39	14	1	n/a	n/a	n/a	n/a	91.145	AF23NES.jpg
59.633	0.514	Blank	Blank	49.356	n/a	1	2	19	n/a	39	n/a	1	n/a	n/a	n/a	n/a	91.642	n/a
60.164	0.497	neutral	Picture	48.842	n/a	1	2	20	n/a	40	4	1	n/a	n/a	n/a	n/a	92.173	AF05NES.jpg
60.661	0.514	Blank	Blank	48.328	n/a	1	2	20	n/a	40	n/a	1	n/a	n/a	n/a	n/a	92.67	n/a
61.192	10.014	ITI	Fixation+	38.298	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	93.201	n/a
71.222	0.497	angry	Picture	37.784	n/a	1	3	1	n/a	41	84	3	n/a	n/a	n/a	n/a	103.231	AF05ANS.jpg
71.719	0.514	Blank	Blank	37.27	n/a	1	3	1	n/a	41	n/a	3	n/a	n/a	n/a	n/a	103.728	n/a
72.25	0.497	angry	Picture	36.756	n/a	1	3	2	n/a	42	92	3	n/a	n/a	n/a	n/a	104.258	AF21ANS.jpg
72.747	0.514	Blank	Blank	36.243	n/a	1	3	2	n/a	42	n/a	3	n/a	n/a	n/a	n/a	104.756	n/a
73.278	0.497	angry	Picture	35.729	n/a	1	3	3	n/a	43	86	3	n/a	n/a	n/a	n/a	105.286	AF09ANS.jpg
73.775	0.514	Blank	Blank	35.215	n/a	1	3	3	n/a	43	n/a	3	n/a	n/a	n/a	n/a	105.784	n/a
74.306	0.497	angry	Picture	34.701	n/a	1	3	4	n/a	44	93	3	n/a	n/a	n/a	n/a	106.314	BF22ANS.jpg
74.803	0.514	Blank	Blank	34.187	n/a	1	3	4	n/a	44	n/a	3	n/a	n/a	n/a	n/a	106.812	n/a
75.334	0.497	angry	Picture	33.673	n/a	1	3	5	n/a	45	88	3	n/a	n/a	n/a	n/a	107.342	AF14ANS.jpg
75.831	0.514	Blank	Blank	33.159	n/a	1	3	5	n/a	45	n/a	3	n/a	n/a	n/a	n/a	107.84	n/a
76.361	0.497	angry	Picture	32.645	n/a	1	3	6	n/a	46	113	3	n/a	n/a	n/a	n/a	108.37	AM21ANS.jpg
76.859	0.514	Blank	Blank	32.131	n/a	1	3	6	n/a	46	n/a	3	n/a	n/a	n/a	n/a	108.867	n/a
77.389	0.497	angry	Picture	31.617	n/a	1	3	7	n/a	47	95	3	n/a	n/a	n/a	n/a	109.398	AF25ANS.jpg
77.887	0.514	Blank	Blank	31.103	n/a	1	3	7	n/a	47	n/a	3	n/a	n/a	n/a	n/a	109.895	n/a
78.417	0.497	angry	Picture	30.589	n/a	1	3	8	n/a	48	102	3	n/a	n/a	n/a	n/a	110.426	BM03ANS.jpg
78.915	0.514	Blank	Blank	30.075	n/a	1	3	8	n/a	48	n/a	3	n/a	n/a	n/a	n/a	110.923	n/a
79.445	0.497	angry	Picture	29.561	n/a	1	3	9	n/a	49	112	3	n/a	n/a	n/a	n/a	111.454	AM14ANS.jpg
79.942	0.514	Blank	Blank	29.047	n/a	1	3	9	n/a	49	n/a	3	n/a	n/a	n/a	n/a	111.951	n/a
80.473	0.497	angry	Picture	28.533	n/a	1	3	10	n/a	50	83	3	n/a	n/a	n/a	n/a	112.482	BF04ANS.jpg
80.97	0.514	Blank	Blank	28.019	n/a	1	3	10	n/a	50	n/a	3	n/a	n/a	n/a	n/a	112.979	n/a
81.501	0.497	angry	Picture	27.506	n/a	1	3	11	n/a	51	90	3	n/a	n/a	n/a	n/a	113.51	AF18ANS.jpg
81.998	0.514	Blank	Blank	26.992	n/a	1	3	11	n/a	51	n/a	3	n/a	n/a	n/a	n/a	114.007	n/a
82.529	0.497	angry	Picture	26.478	n/a	1	3	12	n/a	52	117	3	n/a	n/a	n/a	n/a	114.537	BM25ANS.jpg
83.026	0.514	Blank	Blank	25.964	n/a	1	3	12	n/a	52	n/a	3	n/a	n/a	n/a	n/a	115.035	n/a
83.556	0.497	angry	Picture	25.45	n/a	1	3	13	n/a	53	94	3	n/a	n/a	n/a	n/a	115.565	AF23ANS.jpg
84.054	0.514	Blank	Blank	24.936	n/a	1	3	13	n/a	53	n/a	3	n/a	n/a	n/a	n/a	116.063	n/a
84.584	0.497	angry	Picture	24.422	n/a	1	3	14	n/a	54	106	3	n/a	n/a	n/a	n/a	116.593	AM07ANS.jpg
85.082	0.514	Blank	Blank	23.908	n/a	1	3	14	n/a	54	n/a	3	n/a	n/a	n/a	n/a	117.091	n/a
85.612	0.497	angry	Picture	23.394	n/a	1	3	15	n/a	55	105	3	n/a	n/a	n/a	n/a	117.621	BM06ANS.jpg
86.11	0.514	Blank	Blank	22.88	n/a	1	3	15	n/a	55	n/a	3	n/a	n/a	n/a	n/a	118.118	n/a
86.64	0.497	angry	Picture	22.366	n/a	1	3	16	n/a	56	116	3	n/a	n/a	n/a	n/a	118.649	BM24ANS.jpg
87.137	0.514	Blank	Blank	21.852	n/a	1	3	16	n/a	56	n/a	3	n/a	n/a	n/a	n/a	119.146	n/a
87.668	0.497	angry	Picture	21.338	n/a	1	3	17	n/a	57	89	3	n/a	n/a	n/a	n/a	119.677	AF17ANS.jpg
88.165	0.514	Blank	Blank	20.824	n/a	1	3	17	n/a	57	n/a	3	n/a	n/a	n/a	n/a	120.174	n/a
88.696	0.497	angry	Picture	20.31	n/a	1	3	18	n/a	58	118	3	n/a	n/a	n/a	n/a	120.705	BM26ANS.jpg
89.193	0.514	Blank	Blank	19.796	n/a	1	3	18	n/a	58	n/a	3	n/a	n/a	n/a	n/a	121.202	n/a
89.724	0.497	angry	Picture	19.282	n/a	1	3	19	n/a	59	100	3	n/a	n/a	n/a	n/a	121.733	AF32ANS.jpg
90.221	0.514	Blank	Blank	18.768	n/a	1	3	19	n/a	59	n/a	3	n/a	n/a	n/a	n/a	122.23	n/a
90.752	0.497	angry	Picture	18.255	n/a	1	3	20	n/a	60	119	3	n/a	n/a	n/a	n/a	122.76	BM28ANS.jpg
91.249	0.514	Blank	Blank	17.741	n/a	1	3	20	n/a	60	n/a	3	n/a	n/a	n/a	n/a	123.258	n/a
91.78	10.014	ITI	Fixation+	7.71	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	123.788	n/a
109.504	n/a	ConfirmRating	Rate	n/a	7.692	1	n/a	n/a	0	n/a	n/a	n/a	2	Angry	37	49	141.512	n/a
114.127	n/a	ConfirmRating	Rate	n/a	4.592	1	n/a	n/a	1	n/a	n/a	n/a	3	Angry	31	50	146.136	n/a
114.144	10.014	ITI	Fixation+	94.805	n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	146.153	n/a
124.174	0.497	happy	Picture	94.291	n/a	2	4	1	n/a	61	79	2	n/a	n/a	n/a	n/a	156.183	BM28HAS.jpg
124.672	0.514	Blank	Blank	93.777	n/a	2	4	1	n/a	61	n/a	2	n/a	n/a	n/a	n/a	156.681	n/a
125.202	0.497	happy	Picture	93.263	n/a	2	4	2	n/a	62	61	2	n/a	n/a	n/a	n/a	157.211	AM01HAS.jpg
125.7	0.514	Blank	Blank	92.749	n/a	2	4	2	n/a	62	n/a	2	n/a	n/a	n/a	n/a	157.708	n/a
126.23	0.497	happy	Picture	92.235	n/a	2	4	3	n/a	63	57	2	n/a	n/a	n/a	n/a	158.239	BF28HAS.jpg
126.728	0.514	Blank	Blank	91.721	n/a	2	4	3	n/a	63	n/a	2	n/a	n/a	n/a	n/a	158.736	n/a
127.258	0.497	happy	Picture	91.208	n/a	2	4	4	n/a	64	77	2	n/a	n/a	n/a	n/a	159.267	BM25HAS.jpg
127.755	0.514	Blank	Blank	90.694	n/a	2	4	4	n/a	64	n/a	2	n/a	n/a	n/a	n/a	159.764	n/a
128.286	0.497	happy	Picture	90.18	n/a	2	4	5	n/a	65	47	2	n/a	n/a	n/a	n/a	160.295	BF11HAS.jpg
128.783	0.514	Blank	Blank	89.666	n/a	2	4	5	n/a	65	n/a	2	n/a	n/a	n/a	n/a	160.792	n/a
129.314	0.497	happy	Picture	89.152	n/a	2	4	6	n/a	66	50	2	n/a	n/a	n/a	n/a	161.323	AF18HAS.jpg
129.811	0.514	Blank	Blank	88.638	n/a	2	4	6	n/a	66	n/a	2	n/a	n/a	n/a	n/a	161.82	n/a
130.342	0.497	happy	Picture	88.124	n/a	2	4	7	n/a	67	78	2	n/a	n/a	n/a	n/a	162.351	BM26HAS.jpg
130.839	0.514	Blank	Blank	87.61	n/a	2	4	7	n/a	67	n/a	2	n/a	n/a	n/a	n/a	162.848	n/a
131.37	0.497	happy	Picture	87.096	n/a	2	4	8	n/a	68	45	2	n/a	n/a	n/a	n/a	163.378	BF07HAS.jpg
131.867	0.514	Blank	Blank	86.582	n/a	2	4	8	n/a	68	n/a	2	n/a	n/a	n/a	n/a	163.876	n/a
132.398	0.497	happy	Picture	86.068	n/a	2	4	9	n/a	69	56	2	n/a	n/a	n/a	n/a	164.406	AF26HAS.jpg
