onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
0.006	10.014	Instruction	-1	Picture	Instruction	n/a	n/a	n/a	30.947
10.036	5.007	ITI	0	Picture	Fixation+	1	12.984	n/a	40.978
15.059	2.006	Cue	0	Picture	Maintain	1	10.962	n/a	46.001
17.065	4.99	Pic	0	Picture	IAPS_26	1	5.972	n/a	48.007
22.056	2.006	Blank	0	Picture	BLANK	1	3.965	n/a	52.997
28.027	n/a	ConfirmRating	0	Response	n/a	1	n/a	7	58.969
28.057	6.002	ITI	1	Picture	Fixation+	2	12.076	n/a	58.999
34.075	2.006	Cue	1	Picture	Enhance	2	10.054	n/a	65.017
36.081	4.99	Pic	1	Picture	IAPS_36	2	5.063	n/a	67.023
41.072	2.006	Blank	1	Picture	BLANK	2	3.057	n/a	72.013
46.135	n/a	ConfirmRating	1	Response	n/a	2	n/a	7	77.077
46.161	4.012	ITI	2	Picture	Fixation+	3	13.156	n/a	77.103
50.19	2.006	Cue	2	Picture	Suppress	3	11.134	n/a	81.132
52.196	4.99	Pic	2	Picture	IAPS_01	3	6.144	n/a	83.138
57.186	2.006	Blank	2	Picture	BLANK	3	4.138	n/a	88.128
63.33	n/a	ConfirmRating	2	Response	n/a	3	n/a	7	94.272
63.353	5.007	ITI	3	Picture	Fixation+	4	11.666	n/a	94.295
68.377	2.006	Cue	3	Picture	Maintain	4	9.644	n/a	99.319
70.383	4.99	Pic	3	Picture	IAPS_46	4	4.653	n/a	101.325
75.373	2.006	Blank	3	Picture	BLANK	4	2.647	n/a	106.315
80.026	n/a	ConfirmRating	3	Response	n/a	4	n/a	7	110.968
80.048	5.007	ITI	4	Picture	Fixation+	4	11.947	n/a	110.99
85.072	2.006	Cue	4	Picture	Maintain	4	9.925	n/a	116.014
87.078	4.99	Pic	4	Picture	IAPS_49	4	4.934	n/a	118.02
92.068	2.006	Blank	4	Picture	BLANK	4	2.928	n/a	123.01
97.002	n/a	ConfirmRating	4	Response	n/a	4	n/a	7	127.944
97.025	6.002	ITI	5	Picture	Fixation+	2	13.247	n/a	127.967
103.043	2.006	Cue	5	Picture	Enhance	2	11.225	n/a	133.985
105.049	4.99	Pic	5	Picture	IAPS_37	2	6.235	n/a	135.991
110.04	2.006	Blank	5	Picture	BLANK	2	4.228	n/a	140.981
116.274	n/a	ConfirmRating	5	Response	n/a	2	n/a	6	147.216
116.306	4.012	ITI	6	Picture	Fixation+	1	12.645	n/a	147.248
