onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
0.004	10.014	Instruction	-1	Picture	Instruction	n/a	n/a	n/a	30.234
10.034	5.007	ITI	0	Picture	Fixation+	1	14.099	n/a	40.264
15.058	2.006	Cue	0	Picture	Maintain	1	12.076	n/a	45.288
17.064	4.99	Pic	0	Picture	IAPS_01	1	7.086	n/a	47.294
22.054	2.006	Blank	0	Picture	BLANK	1	5.08	n/a	52.284
29.14	n/a	ConfirmRating	0	Response	n/a	1	n/a	7	59.37
29.166	6.002	ITI	1	Picture	Fixation+	2	11.995	n/a	59.396
35.184	2.006	Cue	1	Picture	Enhance	2	9.973	n/a	65.414
37.19	4.99	Pic	1	Picture	IAPS_26	2	4.982	n/a	67.42
42.18	2.006	Blank	1	Picture	BLANK	2	2.976	n/a	72.41
47.163	n/a	ConfirmRating	1	Response	n/a	2	n/a	0	77.393
47.187	4.012	ITI	2	Picture	Fixation+	3	13.689	n/a	77.417
51.216	2.006	Cue	2	Picture	Suppress	3	11.667	n/a	81.446
53.222	4.99	Pic	2	Picture	IAPS_36	3	6.676	n/a	83.452
58.212	2.006	Blank	2	Picture	BLANK	3	4.67	n/a	88.442
64.888	n/a	ConfirmRating	2	Response	n/a	3	n/a	5	95.118
64.91	5.007	ITI	3	Picture	Fixation+	4	14.76	n/a	95.14
69.933	2.006	Cue	3	Picture	Maintain	4	12.737	n/a	100.163
71.939	4.99	Pic	3	Picture	IAPS_46	4	7.747	n/a	102.169
76.929	2.006	Blank	3	Picture	BLANK	4	5.741	n/a	107.159
84.676	n/a	ConfirmRating	3	Response	n/a	4	n/a	6	114.906
84.705	5.007	ITI	4	Picture	Fixation+	4	12.074	n/a	114.935
89.728	2.006	Cue	4	Picture	Maintain	4	10.052	n/a	119.958
91.734	4.99	Pic	4	Picture	IAPS_49	4	5.061	n/a	121.964
96.724	2.006	Blank	4	Picture	BLANK	4	3.055	n/a	126.954
101.786	n/a	ConfirmRating	4	Response	n/a	4	n/a	6	132.016
101.814	6.002	ITI	5	Picture	Fixation+	2	17.343	n/a	132.044
107.832	2.006	Cue	5	Picture	Enhance	2	15.32	n/a	138.062
109.838	4.99	Pic	5	Picture	IAPS_27	2	10.33	n/a	140.068
114.828	2.006	Blank	5	Picture	BLANK	2	8.324	n/a	145.058
125.158	n/a	ConfirmRating	5	Response	n/a	2	n/a	4	155.388
125.19	4.012	ITI	6	Picture	Fixation+	1	11.55	n/a	155.42
129.219	2.006	Cue	6	Picture	Maintain	1	9.528	n/a	159.448
131.225	4.99	Pic	6	Picture	IAPS_02	1	4.537	n/a	161.454
136.215	2.006	Blank	6	Picture	BLANK	1	2.531	n/a	166.445
140.752	n/a	ConfirmRating	6	Response	n/a	1	n/a	5	170.982
140.774	6.002	ITI	7	Picture	Fixation+	3	13.882	n/a	171.004
146.792	2.006	Cue	7	Picture	Suppress	3	11.86	n/a	177.022
148.798	4.99	Pic	7	Picture	IAPS_37	3	6.87	n/a	179.028
153.788	2.006	Blank	7	Picture	BLANK	3	4.863	n/a	184.018
160.658	n/a	ConfirmRating	7	Response	n/a	3	n/a	3	190.888
160.685	5.007	ITI	8	Picture	Fixation+	4	11.599	n/a	190.915
165.708	2.006	Cue	8	Picture	Maintain	4	9.576	n/a	195.938
167.714	4.99	Pic	8	Picture	IAPS_52	4	4.586	n/a	197.944
172.704	2.006	Blank	8	Picture	BLANK	4	2.58	n/a	202.934
177.29	n/a	ConfirmRating	8	Response	n/a	4	n/a	5	207.52
177.313	6.002	ITI	9	Picture	Fixation+	1	11.03	n/a	207.543
183.331	2.006	Cue	9	Picture	Maintain	1	9.008	n/a	213.561
