onset	duration	response_time
15.1	n/a	0.204
17.8	n/a	0.375
20.0	n/a	0.246
29.8	n/a	0.217
35.3	n/a	0.237
39.0	n/a	0.265
46.9	n/a	0.202
53.1	n/a	0.228
62.1	n/a	0.230
71.0	n/a	0.247
80.5	n/a	0.238
87.6	n/a	0.217
90.6	n/a	0.292
94.0	n/a	0.226
101.0	n/a	0.267
103.3	n/a	0.307
108.5	n/a	0.276
114.2	n/a	0.303
117.3	n/a	0.272
124.8	n/a	0.253
127.5	n/a	0.262
132.4	n/a	0.274
142.3	n/a	0.271
151.1	n/a	0.263
160.2	n/a	0.358
167.9	n/a	0.240
177.9	n/a	0.256
187.9	n/a	0.260
195.3	n/a	0.257
202.5	n/a	0.264
206.2	n/a	0.293
215.1	n/a	0.236
222.6	n/a	0.255
228.6	n/a	0.270
238.0	n/a	0.244
243.4	n/a	0.262
247.9	n/a	0.269
257.0	n/a	0.206
264.4	n/a	0.246
274.0	n/a	0.307
277.6	n/a	0.273
285.2	n/a	0.247
289.4	n/a	0.230
298.3	n/a	0.227
