onset	duration	response_time
7.8	n/a	0.208
14.3	n/a	0.208
18.2	n/a	0.195
26.4	n/a	0.195
36.0	n/a	0.202
44.5	n/a	0.185
51.7	n/a	0.190
57.0	n/a	0.210
61.7	n/a	0.254
71.6	n/a	0.193
81.3	n/a	0.213
88.1	n/a	0.226
97.6	n/a	0.204
104.8	n/a	0.232
110.2	n/a	0.320
120.1	n/a	0.239
127.2	n/a	0.175
134.0	n/a	0.221
139.5	n/a	0.244
145.9	n/a	0.182
152.0	n/a	0.180
161.0	n/a	0.216
169.6	n/a	0.168
174.9	n/a	0.221
184.6	n/a	0.183
192.7	n/a	0.189
199.0	n/a	0.218
209.3	n/a	0.221
215.9	n/a	0.256
224.4	n/a	0.198
233.0	n/a	0.194
235.7	n/a	0.479
239.4	n/a	0.234
248.2	n/a	0.281
251.8	n/a	0.565
257.0	n/a	0.218
266.8	n/a	0.203
275.8	n/a	0.218
280.1	n/a	0.351
284.2	n/a	0.231
288.1	n/a	0.251
292.2	n/a	0.422
295.4	n/a	0.268
297.8	n/a	0.305
