onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.283	06:39:44	1	16377	1	1	6	16	6	1	8	12	7	n/a	n/a	1,3	1
0.0	n/a	1.283	06:39:44	1	16377	1	1	6	16	6	1	8	12	7	n/a	n/a	1,3	1
11.0	n/a	1.143	06:39:55	1	21363	2	2	2	5	2	n/a	n/a	n/a	n/a	n/a	n/a	5,1	1
11.0	n/a	1.143	06:39:55	1	21363	2	2	2	5	2	n/a	n/a	n/a	n/a	n/a	n/a	5,1	1
16.0	n/a	1.212	06:40:00	1	26425	3	3	2	10	15	n/a	n/a	n/a	n/a	n/a	n/a	15,2	1
16.0	n/a	1.212	06:40:00	1	26425	3	3	2	10	15	n/a	n/a	n/a	n/a	n/a	n/a	15,2	1
21.0	n/a	1.723	06:40:05	1	31995	4	4	2	16	14	n/a	n/a	n/a	n/a	n/a	n/a	7,1	1
21.0	n/a	1.723	06:40:05	1	31995	4	4	2	16	14	n/a	n/a	n/a	n/a	n/a	n/a	7,1	1
26.0	n/a	1.442	06:40:10	1	42907	5	5	6	14	5	9	2	8	15	n/a	n/a	15,5	0
26.0	n/a	1.442	06:40:10	1	42907	5	5	6	14	5	9	2	8	15	n/a	n/a	15,5	0
37.0	n/a	1.189	06:40:21	1	53556	6	6	6	2	1	4	14	10	15	n/a	n/a	2,1	1
37.0	n/a	1.189	06:40:21	1	53556	6	6	6	2	1	4	14	10	15	n/a	n/a	2,1	1
48.0	n/a	2.526	06:40:32	1	59928	7	7	2	3	14	n/a	n/a	n/a	n/a	n/a	n/a	1,2	1
48.0	n/a	2.526	06:40:32	1	59928	7	7	2	3	14	n/a	n/a	n/a	n/a	n/a	n/a	1,2	1
54.0	n/a	2.066	06:40:38	1	71483	8	8	6	1	3	16	4	13	2	n/a	n/a	16,3	1
54.0	n/a	2.066	06:40:38	1	71483	8	8	6	1	3	16	4	13	2	n/a	n/a	16,3	1
66.0	n/a	1.9	06:40:50	1	82850	9	9	6	11	5	8	12	3	4	n/a	n/a	13,5	0
66.0	n/a	1.9	06:40:50	1	82850	9	9	6	11	5	8	12	3	4	n/a	n/a	13,5	0
77.0	n/a	1.632	06:41:01	1	88326	10	10	2	9	4	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
77.0	n/a	1.632	06:41:01	1	88326	10	10	2	9	4	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
83.0	n/a	2.974	06:41:07	1	100770	11	11	6	10	16	1	6	15	12	n/a	n/a	15,2	1
83.0	n/a	2.974	06:41:07	1	100770	11	11	6	10	16	1	6	15	12	n/a	n/a	15,2	1
95.0	n/a	1.642	06:41:19	1	106259	12	12	2	8	12	n/a	n/a	n/a	n/a	n/a	n/a	8,2	0
95.0	n/a	1.642	06:41:19	1	106259	12	12	2	8	12	n/a	n/a	n/a	n/a	n/a	n/a	8,2	0
