onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.085	06:24:15	1	10555	1	1	2	4	2	n/a	n/a	n/a	n/a	n/a	n/a	4,1	1
5.0	n/a	1.193	06:24:20	1	21215	2	2	6	12	6	10	2	7	1	n/a	n/a	12,1	1
16.0	n/a	4.052	06:24:31	1	34726	3	3	6	8	16	10	15	12	11	n/a	n/a	10,4	0
29.0	n/a	3.388	06:24:44	1	47583	4	4	6	11	15	10	3	8	1	n/a	n/a	12,3	1
42.0	n/a	2.572	06:24:57	1	54013	5	5	2	7	5	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
49.0	n/a	1.482	06:25:04	1	59355	6	6	2	15	12	n/a	n/a	n/a	n/a	n/a	n/a	10,1	1
54.0	n/a	1.614	06:25:09	1	64859	7	7	2	6	3	n/a	n/a	n/a	n/a	n/a	n/a	3,2	1
60.0	n/a	3.306	06:25:15	1	78131	8	8	6	3	16	8	11	13	1	n/a	n/a	8,3	1
73.0	n/a	3.053	06:25:28	1	85361	9	9	2	1	6	n/a	n/a	n/a	n/a	n/a	n/a	14,2	1
80.0	n/a	1.663	06:25:35	1	96500	10	10	6	10	11	15	4	6	7	n/a	n/a	1,2	1
91.0	n/a	3.941	06:25:46	1	104285	11	11	2	6	15	n/a	n/a	n/a	n/a	n/a	n/a	12,1	1
99.0	n/a	3.921	06:25:54	1	117676	12	12	6	8	10	12	7	4	14	n/a	n/a	8,1	0
