onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
607.075	2.006	Blank	34	Picture	BLANK	2	2.094	n/a	636.834
611.175	n/a	ConfirmRating	34	Response	n/a	2	n/a	3	640.934
611.203	6.002	ITI	35	Picture	Fixation+	4	12.195	n/a	640.962
617.221	2.006	Cue	35	Picture	Maintain	4	10.173	n/a	646.98
619.227	4.99	Pic	35	Picture	IAPS_56	4	5.182	n/a	648.986
624.217	2.006	Blank	35	Picture	BLANK	4	3.176	n/a	653.977
629.4	n/a	ConfirmRating	35	Response	n/a	4	n/a	7	659.159
629.423	5.007	ITI	36	Picture	Fixation+	3	11.321	n/a	659.182
634.446	2.006	Cue	36	Picture	Suppress	3	9.298	n/a	664.206
636.452	4.99	Pic	36	Picture	IAPS_10	3	4.308	n/a	666.212
641.442	2.006	Blank	36	Picture	BLANK	3	2.302	n/a	671.202
645.75	n/a	ConfirmRating	36	Response	n/a	3	n/a	0	675.51
645.77	6.002	ITI	37	Picture	Fixation+	4	10.815	n/a	675.529
651.788	2.006	Cue	37	Picture	Maintain	4	8.792	n/a	681.547
653.794	4.99	Pic	37	Picture	IAPS_59	4	3.802	n/a	683.553
658.784	2.006	Blank	37	Picture	BLANK	4	1.796	n/a	688.543
662.586	n/a	ConfirmRating	37	Response	n/a	4	n/a	6	692.345
662.614	5.007	ITI	38	Picture	Fixation+	2	10.997	n/a	692.373
667.637	2.006	Cue	38	Picture	Enhance	2	8.975	n/a	697.396
669.643	4.99	Pic	38	Picture	IAPS_45	2	3.985	n/a	699.402
674.633	2.006	Blank	38	Picture	BLANK	2	1.979	n/a	704.393
678.618	n/a	ConfirmRating	38	Response	n/a	2	n/a	2	708.377
678.645	4.012	ITI	39	Picture	Fixation+	1	10.769	n/a	708.405
682.674	2.006	Cue	39	Picture	Maintain	1	8.746	n/a	712.433
684.68	4.99	Pic	39	Picture	IAPS_20	1	3.756	n/a	714.439
689.67	2.006	Blank	39	Picture	BLANK	1	1.75	n/a	719.429
693.426	n/a	ConfirmRating	39	Response	n/a	1	n/a	2	723.186
693.45	6.002	ITI	40	Picture	Fixation+	4	11.582	n/a	723.21
699.468	2.006	Cue	40	Picture	Maintain	4	9.56	n/a	729.227
701.474	4.99	Pic	40	Picture	IAPS_48	4	4.57	n/a	731.234
706.464	2.006	Blank	40	Picture	BLANK	4	2.564	n/a	736.224
711.034	n/a	ConfirmRating	40	Response	n/a	4	n/a	7	740.793
