onset	duration	response_time
18.3	n/a	0.379
26.3	n/a	0.311
36.4	n/a	0.235
44.8	n/a	0.269
54.9	n/a	0.260
60.8	n/a	0.287
63.4	n/a	0.472
70.8	n/a	0.258
74.0	n/a	0.331
80.1	n/a	0.261
85.9	n/a	0.237
91.0	n/a	0.264
98.6	n/a	0.214
106.5	n/a	0.238
111.8	n/a	0.287
121.7	n/a	0.219
127.1	n/a	0.363
132.1	n/a	0.285
136.5	n/a	1.012
144.8	n/a	0.226
148.9	n/a	0.265
157.1	n/a	0.228
163.0	n/a	0.250
167.5	n/a	0.280
173.5	n/a	0.240
180.8	n/a	0.231
183.9	n/a	0.590
188.9	n/a	0.264
195.5	n/a	0.222
205.2	n/a	0.226
208.5	n/a	0.385
216.2	n/a	0.001
218.9	n/a	0.675
223.2	n/a	0.356
231.7	n/a	0.241
241.8	n/a	0.207
247.7	n/a	0.265
254.0	n/a	0.228
261.2	n/a	0.212
265.7	n/a	0.337
271.0	n/a	0.228
277.8	n/a	0.203
281.5	n/a	0.583
290.3	n/a	0.236
296.7	n/a	0.265
304.6	n/a	0.001
