onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
0.013	10.014	Instruction	-1	Picture	Instruction	n/a	n/a	n/a	29.422
10.043	5.007	ITI	0	Picture	Fixation+	1	17.956	n/a	39.452
15.067	2.006	Cue	0	Picture	Maintain	1	15.934	n/a	44.476
17.073	4.99	Pic	0	Picture	IAPS_01	1	10.943	n/a	46.482
22.063	2.006	Blank	0	Picture	BLANK	1	8.937	n/a	51.472
33.006	n/a	ConfirmRating	0	Response	n/a	1	n/a	6	62.415
33.038	6.002	ITI	1	Picture	Fixation+	2	14.573	n/a	62.447
39.056	2.006	Cue	1	Picture	Enhance	2	12.551	n/a	68.465
41.062	4.99	Pic	1	Picture	IAPS_26	2	7.561	n/a	70.471
46.052	2.006	Blank	1	Picture	BLANK	2	5.555	n/a	75.461
53.613	n/a	ConfirmRating	1	Response	n/a	2	n/a	6	83.022
53.645	4.012	ITI	2	Picture	Fixation+	3	13.26	n/a	83.055
57.674	2.006	Cue	2	Picture	Suppress	3	11.238	n/a	87.083
59.68	4.99	Pic	2	Picture	IAPS_36	3	6.247	n/a	89.089
64.67	2.006	Blank	2	Picture	BLANK	3	4.241	n/a	94.079
70.918	n/a	ConfirmRating	2	Response	n/a	3	n/a	0	100.327
70.937	5.007	ITI	3	Picture	Fixation+	4	12.686	n/a	100.346
75.961	2.006	Cue	3	Picture	Maintain	4	10.663	n/a	105.37
77.967	4.99	Pic	3	Picture	IAPS_46	4	5.673	n/a	107.376
82.957	2.006	Blank	3	Picture	BLANK	4	3.667	n/a	112.366
88.63	n/a	ConfirmRating	3	Response	n/a	4	n/a	6	118.039
88.66	5.007	ITI	4	Picture	Fixation+	4	15.822	n/a	118.069
93.683	2.006	Cue	4	Picture	Maintain	4	13.799	n/a	123.092
95.689	4.99	Pic	4	Picture	IAPS_49	4	8.809	n/a	125.098
100.68	2.006	Blank	4	Picture	BLANK	4	6.803	n/a	130.089
109.488	n/a	ConfirmRating	4	Response	n/a	4	n/a	6	138.897
109.516	6.002	ITI	5	Picture	Fixation+	2	13.129	n/a	138.925
115.534	2.006	Cue	5	Picture	Enhance	2	11.107	n/a	144.943
117.54	4.99	Pic	5	Picture	IAPS_27	2	6.117	n/a	146.949
122.53	2.006	Blank	5	Picture	BLANK	2	4.111	n/a	151.939
128.647	n/a	ConfirmRating	5	Response	n/a	2	n/a	6	158.056
128.665	4.012	ITI	6	Picture	Fixation+	1	10.818	n/a	158.074
132.693	2.006	Cue	6	Picture	Maintain	1	8.795	n/a	162.102
134.699	4.99	Pic	6	Picture	IAPS_02	1	3.805	n/a	164.108
139.689	2.006	Blank	6	Picture	BLANK	1	1.799	n/a	169.099
143.495	n/a	ConfirmRating	6	Response	n/a	1	n/a	0	172.904
143.519	6.002	ITI	7	Picture	Fixation+	3	12.8	n/a	172.928
149.537	2.006	Cue	7	Picture	Suppress	3	10.777	n/a	178.946
151.543	4.99	Pic	7	Picture	IAPS_37	3	5.787	n/a	180.952
156.534	2.006	Blank	7	Picture	BLANK	3	3.781	n/a	185.943
162.32	n/a	ConfirmRating	7	Response	n/a	3	n/a	5	191.73
162.353	5.007	ITI	8	Picture	Fixation+	4	11.888	n/a	191.762
167.376	2.006	Cue	8	Picture	Maintain	4	9.865	n/a	196.785
169.382	4.99	Pic	8	Picture	IAPS_52	4	4.875	n/a	198.791
174.372	2.006	Blank	8	Picture	BLANK	4	2.869	n/a	203.781
179.247	n/a	ConfirmRating	8	Response	n/a	4	n/a	6	208.656
179.28	6.002	ITI	9	Picture	Fixation+	1	10.675	n/a	208.689
185.298	2.006	Cue	9	Picture	Maintain	1	8.652	n/a	214.707
187.304	4.99	Pic	9	Picture	IAPS_03	1	3.662	n/a	216.713
192.294	2.006	Blank	9	Picture	BLANK	1	1.656	n/a	221.703
195.956	n/a	ConfirmRating	9	Response	n/a	1	n/a	5	225.365
195.975	5.007	ITI	10	Picture	Fixation+	2	12.43	n/a	225.384
200.998	2.006	Cue	10	Picture	Enhance	2	10.408	n/a	230.407
203.004	4.99	Pic	10	Picture	IAPS_28	2	5.418	n/a	232.413
