onset	duration	trial_type	event_type	time_until_response	response_time	trial_number	block_num_within_trial	image_seq_num_within_block	question_seq_num_within_block	image_seq_num	picture_number	condition	question_type	block_type	rating	rating_computed	onset_uncorrected	KDEV_imagefile
0.012	10.014	ITI	Fixation+	103.294	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	29.687	n/a
10.042	0.497	angry	Picture	102.78	n/a	1	1	1	n/a	1	46	2	n/a	n/a	n/a	n/a	39.718	AF09HAS.jpg
10.539	0.514	Blank	Blank	102.266	n/a	1	1	1	n/a	1	n/a	2	n/a	n/a	n/a	n/a	40.215	n/a
11.07	0.497	angry	Picture	101.753	n/a	1	1	2	n/a	2	69	2	n/a	n/a	n/a	n/a	40.745	AM10HAS.jpg
11.567	0.514	Blank	Blank	101.239	n/a	1	1	2	n/a	2	n/a	2	n/a	n/a	n/a	n/a	41.243	n/a
12.098	0.497	angry	Picture	100.725	n/a	1	1	3	n/a	3	71	2	n/a	n/a	n/a	n/a	41.773	BM12HAS.jpg
12.595	0.514	Blank	Blank	100.211	n/a	1	1	3	n/a	3	n/a	2	n/a	n/a	n/a	n/a	42.271	n/a
13.126	0.497	angry	Picture	99.697	n/a	1	1	4	n/a	4	51	2	n/a	n/a	n/a	n/a	42.801	AF20HAS.jpg
13.623	0.514	Blank	Blank	99.183	n/a	1	1	4	n/a	4	n/a	2	n/a	n/a	n/a	n/a	43.298	n/a
14.154	0.497	angry	Picture	98.669	n/a	1	1	5	n/a	5	67	2	n/a	n/a	n/a	n/a	43.829	BM08HAS.jpg
14.651	0.514	Blank	Blank	98.155	n/a	1	1	5	n/a	5	n/a	2	n/a	n/a	n/a	n/a	44.326	n/a
15.181	0.497	angry	Picture	97.641	n/a	1	1	6	n/a	6	60	2	n/a	n/a	n/a	n/a	44.857	AF32HAS.jpg
15.679	0.514	Blank	Blank	97.127	n/a	1	1	6	n/a	6	n/a	2	n/a	n/a	n/a	n/a	45.354	n/a
16.209	0.497	angry	Picture	96.613	n/a	1	1	7	n/a	7	42	2	n/a	n/a	n/a	n/a	45.885	AF03HAS.jpg
16.707	0.514	Blank	Blank	96.099	n/a	1	1	7	n/a	7	n/a	2	n/a	n/a	n/a	n/a	46.382	n/a
17.237	0.497	angry	Picture	95.585	n/a	1	1	8	n/a	8	55	2	n/a	n/a	n/a	n/a	46.913	AF25HAS.jpg
17.735	0.514	Blank	Blank	95.071	n/a	1	1	8	n/a	8	n/a	2	n/a	n/a	n/a	n/a	47.41	n/a
18.265	0.497	angry	Picture	94.557	n/a	1	1	9	n/a	9	72	2	n/a	n/a	n/a	n/a	47.941	AM14HAS.jpg
18.762	0.514	Blank	Blank	94.043	n/a	1	1	9	n/a	9	n/a	2	n/a	n/a	n/a	n/a	48.438	n/a
19.293	0.497	angry	Picture	93.529	n/a	1	1	10	n/a	10	63	2	n/a	n/a	n/a	n/a	48.968	AM04HAS.jpg
19.79	0.514	Blank	Blank	93.015	n/a	1	1	10	n/a	10	n/a	2	n/a	n/a	n/a	n/a	49.466	n/a
20.321	0.497	angry	Picture	92.502	n/a	1	1	11	n/a	11	58	2	n/a	n/a	n/a	n/a	49.996	BF29HAS.jpg
20.818	0.514	Blank	Blank	91.988	n/a	1	1	11	n/a	11	n/a	2	n/a	n/a	n/a	n/a	50.494	n/a
21.349	0.497	angry	Picture	91.474	n/a	1	1	12	n/a	12	48	2	n/a	n/a	n/a	n/a	51.024	AF14HAS.jpg
21.846	0.514	Blank	Blank	90.96	n/a	1	1	12	n/a	12	n/a	2	n/a	n/a	n/a	n/a	51.522	n/a
22.377	0.497	angry	Picture	90.446	n/a	1	1	13	n/a	13	66	2	n/a	n/a	n/a	n/a	52.052	BM07HAS.jpg
22.874	0.514	Blank	Blank	89.932	n/a	1	1	13	n/a	13	n/a	2	n/a	n/a	n/a	n/a	52.55	n/a
23.404	0.497	angry	Picture	89.418	n/a	1	1	14	n/a	14	70	2	n/a	n/a	n/a	n/a	53.08	BM11HAS.jpg
23.902	0.514	Blank	Blank	88.904	n/a	1	1	14	n/a	14	n/a	2	n/a	n/a	n/a	n/a	53.577	n/a
24.432	0.497	angry	Picture	88.39	n/a	1	1	15	n/a	15	43	2	n/a	n/a	n/a	n/a	54.108	BF04HAS.jpg
24.93	0.514	Blank	Blank	87.876	n/a	1	1	15	n/a	15	n/a	2	n/a	n/a	n/a	n/a	54.605	n/a
25.46	0.497	angry	Picture	87.362	n/a	1	1	16	n/a	16	49	2	n/a	n/a	n/a	n/a	55.136	AF17HAS.jpg
25.958	0.514	Blank	Blank	86.848	n/a	1	1	16	n/a	16	n/a	2	n/a	n/a	n/a	n/a	55.633	n/a
26.488	0.497	angry	Picture	86.334	n/a	1	1	17	n/a	17	75	2	n/a	n/a	n/a	n/a	56.164	AM23HAS.jpg
26.986	0.514	Blank	Blank	85.82	n/a	1	1	17	n/a	17	n/a	2	n/a	n/a	n/a	n/a	56.661	n/a
27.516	0.497	angry	Picture	85.306	n/a	1	1	18	n/a	18	80	2	n/a	n/a	n/a	n/a	57.192	BM35HAS.jpg
28.013	0.514	Blank	Blank	84.792	n/a	1	1	18	n/a	18	n/a	2	n/a	n/a	n/a	n/a	57.689	n/a
28.544	0.497	angry	Picture	84.278	n/a	1	1	19	n/a	19	76	2	n/a	n/a	n/a	n/a	58.219	BM24HAS.jpg
29.041	0.514	Blank	Blank	83.765	n/a	1	1	19	n/a	19	n/a	2	n/a	n/a	n/a	n/a	58.717	n/a
29.572	0.497	angry	Picture	83.251	n/a	1	1	20	n/a	20	74	2	n/a	n/a	n/a	n/a	59.247	AM22HAS.jpg
30.069	0.514	Blank	Blank	82.737	n/a	1	1	20	n/a	20	n/a	2	n/a	n/a	n/a	n/a	59.745	n/a
30.6	10.014	ITI	Fixation+	72.706	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	60.275	n/a
40.63	0.497	neutral	Picture	72.192	n/a	1	2	1	n/a	21	33	1	n/a	n/a	n/a	n/a	70.305	AM21NES.jpg
41.127	0.514	Blank	Blank	71.679	n/a	1	2	1	n/a	21	n/a	1	n/a	n/a	n/a	n/a	70.803	n/a
41.658	0.497	neutral	Picture	71.165	n/a	1	2	2	n/a	22	39	1	n/a	n/a	n/a	n/a	71.333	AM28NES.jpg
42.155	0.514	Blank	Blank	70.651	n/a	1	2	2	n/a	22	n/a	1	n/a	n/a	n/a	n/a	71.831	n/a
42.686	0.497	neutral	Picture	70.137	n/a	1	2	3	n/a	23	25	1	n/a	n/a	n/a	n/a	72.361	BM06NES.jpg
43.183	0.514	Blank	Blank	69.623	n/a	1	2	3	n/a	23	n/a	1	n/a	n/a	n/a	n/a	72.859	n/a
43.713	0.497	neutral	Picture	69.109	n/a	1	2	4	n/a	24	5	1	n/a	n/a	n/a	n/a	73.389	BF07NES.jpg
44.211	0.514	Blank	Blank	68.595	n/a	1	2	4	n/a	24	n/a	1	n/a	n/a	n/a	n/a	73.886	n/a
44.741	0.497	neutral	Picture	68.081	n/a	1	2	5	n/a	25	10	1	n/a	n/a	n/a	n/a	74.417	AF18NES.jpg
45.239	0.514	Blank	Blank	67.567	n/a	1	2	5	n/a	25	n/a	1	n/a	n/a	n/a	n/a	74.914	n/a
45.769	0.497	neutral	Picture	67.053	n/a	1	2	6	n/a	26	34	1	n/a	n/a	n/a	n/a	75.445	AM22NES.jpg
46.267	0.514	Blank	Blank	66.539	n/a	1	2	6	n/a	26	n/a	1	n/a	n/a	n/a	n/a	75.942	n/a
46.797	0.497	neutral	Picture	66.025	n/a	1	2	7	n/a	27	36	1	n/a	n/a	n/a	n/a	76.473	BM24NES.jpg
47.295	0.514	Blank	Blank	65.511	n/a	1	2	7	n/a	27	n/a	1	n/a	n/a	n/a	n/a	76.97	n/a
47.825	0.497	neutral	Picture	64.997	n/a	1	2	8	n/a	28	14	1	n/a	n/a	n/a	n/a	77.501	AF23NES.jpg
48.323	0.514	Blank	Blank	64.483	n/a	1	2	8	n/a	28	n/a	1	n/a	n/a	n/a	n/a	77.998	n/a
48.853	0.497	neutral	Picture	63.969	n/a	1	2	9	n/a	29	9	1	n/a	n/a	n/a	n/a	78.528	AF17NES.jpg
49.35	0.514	Blank	Blank	63.455	n/a	1	2	9	n/a	29	n/a	1	n/a	n/a	n/a	n/a	79.026	n/a
49.881	0.497	neutral	Picture	62.942	n/a	1	2	10	n/a	30	19	1	n/a	n/a	n/a	n/a	79.556	AF31NES.jpg
50.378	0.514	Blank	Blank	62.428	n/a	1	2	10	n/a	30	n/a	1	n/a	n/a	n/a	n/a	80.054	n/a
50.909	0.497	neutral	Picture	61.914	n/a	1	2	11	n/a	31	15	1	n/a	n/a	n/a	n/a	80.584	AF25NES.jpg
51.406	0.514	Blank	Blank	61.4	n/a	1	2	11	n/a	31	n/a	1	n/a	n/a	n/a	n/a	81.082	n/a
51.937	0.497	neutral	Picture	60.886	n/a	1	2	12	n/a	32	22	1	n/a	n/a	n/a	n/a	81.612	BM03NES.jpg
52.434	0.514	Blank	Blank	60.372	n/a	1	2	12	n/a	32	n/a	1	n/a	n/a	n/a	n/a	82.109	n/a
52.965	0.497	neutral	Picture	59.858	n/a	1	2	13	n/a	33	11	1	n/a	n/a	n/a	n/a	82.64	AF20NES.jpg
53.462	0.514	Blank	Blank	59.344	n/a	1	2	13	n/a	33	n/a	1	n/a	n/a	n/a	n/a	83.137	n/a
53.992	0.497	neutral	Picture	58.83	n/a	1	2	14	n/a	34	4	1	n/a	n/a	n/a	n/a	83.668	AF05NES.jpg
54.49	0.514	Blank	Blank	58.316	n/a	1	2	14	n/a	34	n/a	1	n/a	n/a	n/a	n/a	84.165	n/a
55.02	0.497	neutral	Picture	57.802	n/a	1	2	15	n/a	35	17	1	n/a	n/a	n/a	n/a	84.696	BF28NES.jpg
55.518	0.514	Blank	Blank	57.288	n/a	1	2	15	n/a	35	n/a	1	n/a	n/a	n/a	n/a	85.193	n/a
56.048	0.497	neutral	Picture	56.774	n/a	1	2	16	n/a	36	13	1	n/a	n/a	n/a	n/a	85.724	BF22NES.jpg
56.546	0.514	Blank	Blank	56.26	n/a	1	2	16	n/a	36	n/a	1	n/a	n/a	n/a	n/a	86.221	n/a
57.076	0.497	neutral	Picture	55.746	n/a	1	2	17	n/a	37	12	1	n/a	n/a	n/a	n/a	86.752	AF21NES.jpg
57.573	0.514	Blank	Blank	55.232	n/a	1	2	17	n/a	37	n/a	1	n/a	n/a	n/a	n/a	87.249	n/a
58.104	0.497	neutral	Picture	54.718	n/a	1	2	18	n/a	38	24	1	n/a	n/a	n/a	n/a	87.779	BM05NES.jpg
58.601	0.514	Blank	Blank	54.204	n/a	1	2	18	n/a	38	n/a	1	n/a	n/a	n/a	n/a	88.277	n/a
59.132	0.497	neutral	Picture	53.691	n/a	1	2	19	n/a	39	29	1	n/a	n/a	n/a	n/a	88.807	AM10NES.jpg
59.629	0.514	Blank	Blank	53.177	n/a	1	2	19	n/a	39	n/a	1	n/a	n/a	n/a	n/a	89.305	n/a
60.16	0.497	neutral	Picture	52.663	n/a	1	2	20	n/a	40	23	1	n/a	n/a	n/a	n/a	89.835	AM04NES.jpg
60.657	0.514	Blank	Blank	52.149	n/a	1	2	20	n/a	40	n/a	1	n/a	n/a	n/a	n/a	90.333	n/a
61.188	10.014	ITI	Fixation+	42.119	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	90.863	n/a
71.218	0.497	angry	Picture	41.605	n/a	1	3	1	n/a	41	62	2	n/a	n/a	n/a	n/a	100.893	BM03HAS.jpg
71.715	0.514	Blank	Blank	41.091	n/a	1	3	1	n/a	41	n/a	2	n/a	n/a	n/a	n/a	101.391	n/a
72.246	0.497	angry	Picture	40.577	n/a	1	3	2	n/a	42	52	2	n/a	n/a	n/a	n/a	101.921	AF21HAS.jpg
72.743	0.514	Blank	Blank	40.063	n/a	1	3	2	n/a	42	n/a	2	n/a	n/a	n/a	n/a	102.418	n/a
73.274	0.497	angry	Picture	39.549	n/a	1	3	3	n/a	43	44	2	n/a	n/a	n/a	n/a	102.949	AF05HAS.jpg
73.771	0.514	Blank	Blank	39.035	n/a	1	3	3	n/a	43	n/a	2	n/a	n/a	n/a	n/a	103.446	n/a
74.301	0.497	angry	Picture	38.521	n/a	1	3	4	n/a	44	53	2	n/a	n/a	n/a	n/a	103.977	BF22HAS.jpg
74.799	0.514	Blank	Blank	38.007	n/a	1	3	4	n/a	44	n/a	2	n/a	n/a	n/a	n/a	104.474	n/a
75.329	0.497	angry	Picture	37.493	n/a	1	3	5	n/a	45	54	2	n/a	n/a	n/a	n/a	105.005	AF23HAS.jpg
75.827	0.514	Blank	Blank	36.979	n/a	1	3	5	n/a	45	n/a	2	n/a	n/a	n/a	n/a	105.502	n/a
76.357	0.497	angry	Picture	36.465	n/a	1	3	6	n/a	46	68	2	n/a	n/a	n/a	n/a	106.033	AM09HAS.jpg
76.855	0.514	Blank	Blank	35.951	n/a	1	3	6	n/a	46	n/a	2	n/a	n/a	n/a	n/a	106.53	n/a
77.385	0.497	angry	Picture	35.437	n/a	1	3	7	n/a	47	64	2	n/a	n/a	n/a	n/a	107.061	BM05HAS.jpg
77.883	0.514	Blank	Blank	34.923	n/a	1	3	7	n/a	47	n/a	2	n/a	n/a	n/a	n/a	107.558	n/a
78.413	0.497	angry	Picture	34.409	n/a	1	3	8	n/a	48	59	2	n/a	n/a	n/a	n/a	108.088	AF31HAS.jpg
78.91	0.514	Blank	Blank	33.895	n/a	1	3	8	n/a	48	n/a	2	n/a	n/a	n/a	n/a	108.586	n/a
79.441	0.497	angry	Picture	33.382	n/a	1	3	9	n/a	49	41	2	n/a	n/a	n/a	n/a	109.116	AF01HAS.jpg
79.938	0.514	Blank	Blank	32.868	n/a	1	3	9	n/a	49	n/a	2	n/a	n/a	n/a	n/a	109.614	n/a
80.469	0.497	angry	Picture	32.354	n/a	1	3	10	n/a	50	73	2	n/a	n/a	n/a	n/a	110.144	AM21HAS.jpg
80.966	0.514	Blank	Blank	31.84	n/a	1	3	10	n/a	50	n/a	2	n/a	n/a	n/a	n/a	110.642	n/a
81.497	0.497	angry	Picture	31.326	n/a	1	3	11	n/a	51	65	2	n/a	n/a	n/a	n/a	111.172	BM06HAS.jpg
81.994	0.514	Blank	Blank	30.812	n/a	1	3	11	n/a	51	n/a	2	n/a	n/a	n/a	n/a	111.669	n/a
82.525	0.497	angry	Picture	30.298	n/a	1	3	12	n/a	52	56	2	n/a	n/a	n/a	n/a	112.2	AF26HAS.jpg
83.022	0.514	Blank	Blank	29.784	n/a	1	3	12	n/a	52	n/a	2	n/a	n/a	n/a	n/a	112.697	n/a
83.552	0.497	angry	Picture	29.27	n/a	1	3	13	n/a	53	45	2	n/a	n/a	n/a	n/a	113.228	BF07HAS.jpg
84.05	0.514	Blank	Blank	28.756	n/a	1	3	13	n/a	53	n/a	2	n/a	n/a	n/a	n/a	113.725	n/a
84.58	0.497	angry	Picture	28.242	n/a	1	3	14	n/a	54	78	2	n/a	n/a	n/a	n/a	114.256	BM26HAS.jpg
85.078	0.514	Blank	Blank	27.728	n/a	1	3	14	n/a	54	n/a	2	n/a	n/a	n/a	n/a	114.753	n/a
85.608	0.497	angry	Picture	27.214	n/a	1	3	15	n/a	55	50	2	n/a	n/a	n/a	n/a	115.284	AF18HAS.jpg
86.106	0.514	Blank	Blank	26.7	n/a	1	3	15	n/a	55	n/a	2	n/a	n/a	n/a	n/a	115.781	n/a
86.636	0.497	angry	Picture	26.186	n/a	1	3	16	n/a	56	47	2	n/a	n/a	n/a	n/a	116.312	BF11HAS.jpg
87.133	0.514	Blank	Blank	25.672	n/a	1	3	16	n/a	56	n/a	2	n/a	n/a	n/a	n/a	116.809	n/a
87.664	0.497	angry	Picture	25.158	n/a	1	3	17	n/a	57	77	2	n/a	n/a	n/a	n/a	117.34	BM25HAS.jpg
88.161	0.514	Blank	Blank	24.644	n/a	1	3	17	n/a	57	n/a	2	n/a	n/a	n/a	n/a	117.837	n/a
88.692	0.497	angry	Picture	24.131	n/a	1	3	18	n/a	58	57	2	n/a	n/a	n/a	n/a	118.367	BF28HAS.jpg
89.189	0.514	Blank	Blank	23.617	n/a	1	3	18	n/a	58	n/a	2	n/a	n/a	n/a	n/a	118.865	n/a
89.72	0.497	angry	Picture	23.103	n/a	1	3	19	n/a	59	61	2	n/a	n/a	n/a	n/a	119.395	AM01HAS.jpg
90.217	0.514	Blank	Blank	22.589	n/a	1	3	19	n/a	59	n/a	2	n/a	n/a	n/a	n/a	119.893	n/a
90.748	0.497	angry	Picture	22.075	n/a	1	3	20	n/a	60	79	2	n/a	n/a	n/a	n/a	120.423	BM28HAS.jpg
91.245	0.514	Blank	Blank	21.561	n/a	1	3	20	n/a	60	n/a	2	n/a	n/a	n/a	n/a	120.921	n/a
91.775	10.014	ITI	Fixation+	11.531	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	121.451	n/a
113.32	n/a	ConfirmRating	Rate	n/a	11.506	1	n/a	n/a	0	n/a	n/a	n/a	2	Angry	69	51	142.995	n/a
121.901	n/a	ConfirmRating	Rate	n/a	8.571	1	n/a	n/a	1	n/a	n/a	n/a	3	Angry	50	50	151.576	n/a
121.932	10.014	ITI	Fixation+	96.609	n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	151.608	n/a
131.963	0.497	happy	Picture	96.095	n/a	2	4	1	n/a	61	119	3	n/a	n/a	n/a	n/a	161.638	BM28ANS.jpg
132.46	0.514	Blank	Blank	95.581	n/a	2	4	1	n/a	61	n/a	3	n/a	n/a	n/a	n/a	162.135	n/a
132.99	0.497	happy	Picture	95.067	n/a	2	4	2	n/a	62	100	3	n/a	n/a	n/a	n/a	162.666	AF32ANS.jpg
133.488	0.514	Blank	Blank	94.553	n/a	2	4	2	n/a	62	n/a	3	n/a	n/a	n/a	n/a	163.163	n/a
134.018	0.497	happy	Picture	94.039	n/a	2	4	3	n/a	63	118	3	n/a	n/a	n/a	n/a	163.694	BM26ANS.jpg
134.516	0.514	Blank	Blank	93.525	n/a	2	4	3	n/a	63	n/a	3	n/a	n/a	n/a	n/a	164.191	n/a
135.046	0.497	happy	Picture	93.011	n/a	2	4	4	n/a	64	89	3	n/a	n/a	n/a	n/a	164.722	AF17ANS.jpg
135.544	0.514	Blank	Blank	92.498	n/a	2	4	4	n/a	64	n/a	3	n/a	n/a	n/a	n/a	165.219	n/a
136.074	0.497	happy	Picture	91.984	n/a	2	4	5	n/a	65	116	3	n/a	n/a	n/a	n/a	165.75	BM24ANS.jpg
136.572	0.514	Blank	Blank	91.47	n/a	2	4	5	n/a	65	n/a	3	n/a	n/a	n/a	n/a	166.247	n/a
137.102	0.497	happy	Picture	90.956	n/a	2	4	6	n/a	66	105	3	n/a	n/a	n/a	n/a	166.778	BM06ANS.jpg
137.599	0.514	Blank	Blank	90.442	n/a	2	4	6	n/a	66	n/a	3	n/a	n/a	n/a	n/a	167.275	n/a
138.13	0.497	happy	Picture	89.928	n/a	2	4	7	n/a	67	106	3	n/a	n/a	n/a	n/a	167.805	AM07ANS.jpg
138.627	0.514	Blank	Blank	89.414	n/a	2	4	7	n/a	67	n/a	3	n/a	n/a	n/a	n/a	168.303	n/a
139.158	0.497	happy	Picture	88.9	n/a	2	4	8	n/a	68	94	3	n/a	n/a	n/a	n/a	168.833	AF23ANS.jpg
139.655	0.514	Blank	Blank	88.386	n/a	2	4	8	n/a	68	n/a	3	n/a	n/a	n/a	n/a	169.331	n/a
140.186	0.497	happy	Picture	87.872	n/a	2	4	9	n/a	69	117	3	n/a	n/a	n/a	n/a	169.861	BM25ANS.jpg
140.683	0.514	Blank	Blank	87.358	n/a	2	4	9	n/a	69	n/a	3	n/a	n/a	n/a	n/a	170.358	n/a
141.214	0.497	happy	Picture	86.844	n/a	2	4	10	n/a	70	90	3	n/a	n/a	n/a	n/a	170.889	AF18ANS.jpg
141.711	0.514	Blank	Blank	86.33	n/a	2	4	10	n/a	70	n/a	3	n/a	n/a	n/a	n/a	171.386	n/a
142.241	0.497	happy	Picture	85.816	n/a	2	4	11	n/a	71	83	3	n/a	n/a	n/a	n/a	171.917	BF04ANS.jpg
142.739	0.514	Blank	Blank	85.302	n/a	2	4	11	n/a	71	n/a	3	n/a	n/a	n/a	n/a	172.414	n/a
143.269	0.497	happy	Picture	84.788	n/a	2	4	12	n/a	72	112	3	n/a	n/a	n/a	n/a	172.945	AM14ANS.jpg
143.767	0.514	Blank	Blank	84.274	n/a	2	4	12	n/a	72	n/a	3	n/a	n/a	n/a	n/a	173.442	n/a
144.297	0.497	happy	Picture	83.76	n/a	2	4	13	n/a	73	102	3	n/a	n/a	n/a	n/a	173.973	BM03ANS.jpg
144.795	0.514	Blank	Blank	83.247	n/a	2	4	13	n/a	73	n/a	3	n/a	n/a	n/a	n/a	174.47	n/a
145.325	0.497	happy	Picture	82.733	n/a	2	4	14	n/a	74	95	3	n/a	n/a	n/a	n/a	175.001	AF25ANS.jpg
145.822	0.514	Blank	Blank	82.219	n/a	2	4	14	n/a	74	n/a	3	n/a	n/a	n/a	n/a	175.498	n/a
146.353	0.497	happy	Picture	81.705	n/a	2	4	15	n/a	75	113	3	n/a	n/a	n/a	n/a	176.029	AM21ANS.jpg
146.85	0.514	Blank	Blank	81.191	n/a	2	4	15	n/a	75	n/a	3	n/a	n/a	n/a	n/a	176.526	n/a
