onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
0.014	10.014	Instruction	-1	Picture	Instruction	n/a	n/a	n/a	30.052
10.045	5.007	ITI	0	Picture	Fixation+	1	13.638	n/a	40.082
15.068	2.006	Cue	0	Picture	Maintain	1	11.615	n/a	45.105
17.074	4.99	Pic	0	Picture	IAPS_26	1	6.625	n/a	47.111
22.064	2.006	Blank	0	Picture	BLANK	1	4.619	n/a	52.102
28.689	n/a	ConfirmRating	0	Response	n/a	1	n/a	6	58.727
28.712	6.002	ITI	1	Picture	Fixation+	2	12.818	n/a	58.75
34.73	2.006	Cue	1	Picture	Enhance	2	10.796	n/a	64.768
36.736	4.99	Pic	1	Picture	IAPS_36	2	5.805	n/a	66.774
41.727	2.006	Blank	1	Picture	BLANK	2	3.799	n/a	71.764
47.532	n/a	ConfirmRating	1	Response	n/a	2	n/a	7	77.57
47.562	4.012	ITI	2	Picture	Fixation+	3	13.697	n/a	77.6
51.591	2.006	Cue	2	Picture	Suppress	3	11.675	n/a	81.628
53.597	4.99	Pic	2	Picture	IAPS_01	3	6.685	n/a	83.634
58.587	2.006	Blank	2	Picture	BLANK	3	4.678	n/a	88.625
65.272	n/a	ConfirmRating	2	Response	n/a	3	n/a	0	95.309
65.302	5.007	ITI	3	Picture	Fixation+	4	12.03	n/a	95.339
70.325	2.006	Cue	3	Picture	Maintain	4	10.008	n/a	100.362
72.331	4.99	Pic	3	Picture	IAPS_46	4	5.017	n/a	102.368
77.321	2.006	Blank	3	Picture	BLANK	4	3.011	n/a	107.359
82.338	n/a	ConfirmRating	3	Response	n/a	4	n/a	7	112.376
82.361	5.007	ITI	4	Picture	Fixation+	4	11.354	n/a	112.399
87.384	2.006	Cue	4	Picture	Maintain	4	9.332	n/a	117.422
89.391	4.99	Pic	4	Picture	IAPS_49	4	4.341	n/a	119.428
94.381	2.006	Blank	4	Picture	BLANK	4	2.335	n/a	124.418
98.722	n/a	ConfirmRating	4	Response	n/a	4	n/a	7	128.76
98.741	6.002	ITI	5	Picture	Fixation+	2	11.909	n/a	128.778
104.759	2.006	Cue	5	Picture	Enhance	2	9.887	n/a	134.797
106.765	4.99	Pic	5	Picture	IAPS_37	2	4.896	n/a	136.803
111.755	2.006	Blank	5	Picture	BLANK	2	2.891	n/a	141.793
116.652	n/a	ConfirmRating	5	Response	n/a	2	n/a	7	146.689
116.679	4.012	ITI	6	Picture	Fixation+	1	11.568	n/a	146.717
120.708	2.006	Cue	6	Picture	Maintain	1	9.546	n/a	150.745
122.714	4.99	Pic	6	Picture	IAPS_27	1	4.555	n/a	152.751
127.704	2.006	Blank	6	Picture	BLANK	1	2.549	n/a	157.741
132.26	n/a	ConfirmRating	6	Response	n/a	1	n/a	6	162.297
132.28	6.002	ITI	7	Picture	Fixation+	3	11.369	n/a	162.317
138.298	2.006	Cue	7	Picture	Suppress	3	9.346	n/a	168.335
140.304	4.99	Pic	7	Picture	IAPS_02	3	4.356	n/a	170.341
145.294	2.006	Blank	7	Picture	BLANK	3	2.35	n/a	175.332
149.65	n/a	ConfirmRating	7	Response	n/a	3	n/a	5	179.688
149.671	5.007	ITI	8	Picture	Fixation+	4	11.048	n/a	179.708
154.694	2.006	Cue	8	Picture	Maintain	4	9.026	n/a	184.732
156.7	4.99	Pic	8	Picture	IAPS_52	4	4.035	n/a	186.738
161.691	2.006	Blank	8	Picture	BLANK	4	2.029	n/a	191.728
165.726	n/a	ConfirmRating	8	Response	n/a	4	n/a	7	195.763
165.752	6.002	ITI	9	Picture	Fixation+	1	10.653	n/a	195.79
171.77	2.006	Cue	9	Picture	Maintain	1	8.63	n/a	201.808
173.776	4.99	Pic	9	Picture	IAPS_28	1	3.64	n/a	203.814
178.767	2.006	Blank	9	Picture	BLANK	1	1.634	n/a	208.804
182.407	n/a	ConfirmRating	9	Response	n/a	1	n/a	6	212.444
182.43	5.007	ITI	10	Picture	Fixation+	2	12.086	n/a	212.468
187.454	2.006	Cue	10	Picture	Enhance	2	10.063	n/a	217.491
189.46	4.99	Pic	10	Picture	IAPS_38	2	5.073	n/a	219.497
194.45	2.006	Blank	10	Picture	BLANK	2	3.067	n/a	224.488
199.523	n/a	ConfirmRating	10	Response	n/a	2	n/a	6	229.561
199.556	4.012	ITI	11	Picture	Fixation+	3	12.713	n/a	229.594
203.585	2.006	Cue	11	Picture	Suppress	3	10.69	n/a	233.622
205.591	4.99	Pic	11	Picture	IAPS_03	3	5.7	n/a	235.628
210.581	2.006	Blank	11	Picture	BLANK	3	3.694	n/a	240.619
216.281	n/a	ConfirmRating	11	Response	n/a	3	n/a	5	246.318
216.301	6.002	ITI	12	Picture	Fixation+	2	10.913	n/a	246.338
222.319	2.006	Cue	12	Picture	Enhance	2	8.891	n/a	252.356
224.325	4.99	Pic	12	Picture	IAPS_39	2	3.901	n/a	254.362
229.315	2.006	Blank	12	Picture	BLANK	2	1.895	n/a	259.353
233.216	n/a	ConfirmRating	12	Response	n/a	2	n/a	6	263.253
233.244	5.007	ITI	13	Picture	Fixation+	1	10.067	n/a	263.282
238.268	2.006	Cue	13	Picture	Maintain	1	8.045	n/a	268.305
240.274	4.99	Pic	13	Picture	IAPS_29	1	3.054	n/a	270.311
