onset	duration	response_time
13.1	n/a	0.248
22.8	n/a	0.235
30.8	n/a	0.217
35.2	n/a	0.250
39.4	n/a	0.240
46.7	n/a	0.203
54.2	n/a	0.234
63.8	n/a	0.257
68.7	n/a	0.217
74.0	n/a	0.252
77.4	n/a	0.281
79.8	n/a	0.295
83.7	n/a	0.228
86.3	n/a	0.363
96.1	n/a	0.255
98.7	n/a	0.298
107.3	n/a	0.225
114.9	n/a	0.230
118.4	n/a	0.370
126.5	n/a	0.236
130.7	n/a	0.222
138.4	n/a	0.181
140.9	n/a	0.285
143.6	n/a	0.255
145.9	n/a	0.255
153.6	n/a	0.225
157.0	n/a	0.225
161.3	n/a	0.233
169.5	n/a	0.258
175.9	n/a	0.244
180.5	n/a	0.252
189.1	n/a	0.202
194.4	n/a	0.229
199.0	n/a	0.263
205.4	n/a	0.238
211.3	n/a	0.239
214.2	n/a	0.262
219.5	n/a	0.224
222.6	n/a	0.251
226.4	n/a	0.291
230.7	n/a	0.241
236.0	n/a	0.209
243.2	n/a	0.230
247.4	n/a	0.270
254.5	n/a	0.201
258.1	n/a	0.295
267.1	n/a	0.223
270.0	n/a	0.315
272.6	n/a	0.286
281.5	n/a	0.267
290.6	n/a	0.422
296.5	n/a	0.244
