onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.43	06:40:58	1	10889	1	1	2	6	10	n/a	n/a	n/a	n/a	n/a	n/a	9,2	1
0.0	n/a	1.43	06:40:58	1	10889	1	1	2	6	10	n/a	n/a	n/a	n/a	n/a	n/a	9,2	1
5.0	n/a	0.982	06:41:03	1	15721	2	2	2	15	11	n/a	n/a	n/a	n/a	n/a	n/a	8,2	1
5.0	n/a	0.982	06:41:03	1	15721	2	2	2	15	11	n/a	n/a	n/a	n/a	n/a	n/a	8,2	1
10.0	n/a	1.134	06:41:08	1	21193	3	3	2	16	13	n/a	n/a	n/a	n/a	n/a	n/a	7,1	1
10.0	n/a	1.134	06:41:08	1	21193	3	3	2	16	13	n/a	n/a	n/a	n/a	n/a	n/a	7,1	1
15.0	n/a	1.078	06:41:13	1	26632	4	4	2	2	8	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
15.0	n/a	1.078	06:41:13	1	26632	4	4	2	2	8	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
21.0	n/a	1.201	06:41:19	1	37311	5	5	6	3	14	2	7	6	15	n/a	n/a	10,3	1
21.0	n/a	1.201	06:41:19	1	37311	5	5	6	3	14	2	7	6	15	n/a	n/a	10,3	1
31.0	n/a	1.089	06:41:29	1	47884	6	6	6	1	9	15	14	13	11	n/a	n/a	7,6	1
31.0	n/a	1.089	06:41:29	1	47884	6	6	6	1	9	15	14	13	11	n/a	n/a	7,6	1
42.0	n/a	1.261	06:41:40	1	52993	7	7	2	11	12	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
42.0	n/a	1.261	06:41:40	1	52993	7	7	2	11	12	n/a	n/a	n/a	n/a	n/a	n/a	11,1	1
47.0	n/a	1.318	06:41:45	1	63783	8	8	6	11	4	3	9	14	5	n/a	n/a	5,6	1
47.0	n/a	1.318	06:41:45	1	63783	8	8	6	11	4	3	9	14	5	n/a	n/a	5,6	1
58.0	n/a	1.352	06:41:56	1	74600	9	9	6	16	12	8	11	3	14	n/a	n/a	16,1	1
58.0	n/a	1.352	06:41:56	1	74600	9	9	6	16	12	8	11	3	14	n/a	n/a	16,1	1
69.0	n/a	2.808	06:42:07	1	86874	10	10	6	16	14	9	8	1	10	n/a	n/a	12,3	1
69.0	n/a	2.808	06:42:07	1	86874	10	10	6	16	14	9	8	1	10	n/a	n/a	12,3	1
81.0	n/a	3.793	06:42:19	1	100136	11	11	6	2	11	1	16	9	4	n/a	n/a	13,5	0
81.0	n/a	3.793	06:42:19	1	100136	11	11	6	2	11	1	16	9	4	n/a	n/a	13,5	0
94.0	n/a	1.359	06:42:32	1	105340	12	12	2	12	11	n/a	n/a	n/a	n/a	n/a	n/a	6,1	1
94.0	n/a	1.359	06:42:32	1	105340	12	12	2	12	11	n/a	n/a	n/a	n/a	n/a	n/a	6,1	1
