onset	duration	response_time
13.9	n/a	0.200
20.6	n/a	0.175
27.2	n/a	0.184
32.2	n/a	0.187
38.0	n/a	0.198
46.1	n/a	0.196
55.3	n/a	0.191
58.4	n/a	0.251
62.7	n/a	0.216
65.9	n/a	0.238
72.1	n/a	0.205
77.9	n/a	0.217
83.6	n/a	0.181
92.0	n/a	0.194
95.5	n/a	0.261
102.1	n/a	0.197
107.3	n/a	0.216
117.3	n/a	0.202
126.1	n/a	0.243
134.8	n/a	0.190
142.3	n/a	0.219
146.9	n/a	0.255
155.1	n/a	0.204
164.8	n/a	0.222
168.3	n/a	0.240
174.6	n/a	0.216
180.1	n/a	0.245
188.9	n/a	0.193
198.9	n/a	0.211
206.5	n/a	0.226
213.1	n/a	0.230
220.5	n/a	0.208
226.5	n/a	0.253
229.7	n/a	0.466
233.0	n/a	0.285
242.0	n/a	0.218
246.4	n/a	0.334
251.0	n/a	0.287
256.5	n/a	0.264
259.4	n/a	0.288
263.3	n/a	0.217
266.2	n/a	0.250
275.2	n/a	0.199
279.6	n/a	0.240
285.0	n/a	0.197
291.4	n/a	0.224
295.3	n/a	0.248
