onset	duration	response_time
8.6	n/a	0.281
17.5	n/a	0.276
21.8	n/a	0.232
24.8	n/a	0.274
28.5	n/a	0.281
34.9	n/a	0.273
42.3	n/a	0.251
49.1	n/a	0.375
53.0	n/a	0.250
60.0	n/a	0.235
67.9	n/a	0.272
77.2	n/a	0.251
84.3	n/a	0.326
89.4	n/a	0.246
94.9	n/a	0.257
101.3	n/a	0.314
111.4	n/a	0.244
116.5	n/a	0.322
126.5	n/a	0.264
129.8	n/a	0.305
133.7	n/a	0.384
138.9	n/a	0.297
148.5	n/a	0.301
155.8	n/a	0.294
160.8	n/a	0.273
166.8	n/a	0.292
176.6	n/a	0.280
180.5	n/a	0.329
189.1	n/a	0.221
198.9	n/a	0.296
201.5	n/a	0.308
206.0	n/a	0.316
209.7	n/a	0.268
214.4	n/a	0.243
220.4	n/a	0.310
226.7	n/a	0.315
231.5	n/a	0.251
237.2	n/a	0.268
244.9	n/a	0.240
253.6	n/a	0.302
258.7	n/a	0.295
263.3	n/a	0.274
269.0	n/a	0.256
274.1	n/a	0.248
281.5	n/a	0.276
285.5	n/a	0.316
293.3	n/a	0.266
