onset	duration	trial_type	event_type	time_until_response	response_time	trial_number	block_num_within_trial	image_seq_num_within_block	question_seq_num_within_block	image_seq_num	picture_number	condition	question_type	block_type	rating	rating_computed	onset_uncorrected	KDEV_imagefile
0.008	10.014	ITI	Fixation+	103.259	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	30.98	n/a
10.038	0.497	happy	Picture	102.745	n/a	1	1	1	n/a	1	108	3	n/a	n/a	n/a	n/a	41.011	AM09ANS.jpg
10.535	0.514	Blank	Blank	102.231	n/a	1	1	1	n/a	1	n/a	3	n/a	n/a	n/a	n/a	41.508	n/a
11.066	0.497	happy	Picture	101.717	n/a	1	1	2	n/a	2	99	3	n/a	n/a	n/a	n/a	42.038	AF31ANS.jpg
11.563	0.514	Blank	Blank	101.203	n/a	1	1	2	n/a	2	n/a	3	n/a	n/a	n/a	n/a	42.536	n/a
12.094	0.497	happy	Picture	100.689	n/a	1	1	3	n/a	3	98	3	n/a	n/a	n/a	n/a	43.066	BF29ANS.jpg
12.591	0.514	Blank	Blank	100.176	n/a	1	1	3	n/a	3	n/a	3	n/a	n/a	n/a	n/a	43.564	n/a
13.122	0.497	happy	Picture	99.662	n/a	1	1	4	n/a	4	107	3	n/a	n/a	n/a	n/a	44.094	BM08ANS.jpg
13.619	0.514	Blank	Blank	99.148	n/a	1	1	4	n/a	4	n/a	3	n/a	n/a	n/a	n/a	44.592	n/a
14.15	0.497	happy	Picture	98.634	n/a	1	1	5	n/a	5	104	3	n/a	n/a	n/a	n/a	45.122	BM05ANS.jpg
14.647	0.514	Blank	Blank	98.12	n/a	1	1	5	n/a	5	n/a	3	n/a	n/a	n/a	n/a	45.619	n/a
15.178	0.497	happy	Picture	97.606	n/a	1	1	6	n/a	6	101	3	n/a	n/a	n/a	n/a	46.15	AM01ANS.jpg
15.675	0.514	Blank	Blank	97.092	n/a	1	1	6	n/a	6	n/a	3	n/a	n/a	n/a	n/a	46.647	n/a
16.205	0.497	happy	Picture	96.578	n/a	1	1	7	n/a	7	103	3	n/a	n/a	n/a	n/a	47.178	AM04ANS.jpg
16.703	0.514	Blank	Blank	96.064	n/a	1	1	7	n/a	7	n/a	3	n/a	n/a	n/a	n/a	47.675	n/a
17.233	0.497	happy	Picture	95.55	n/a	1	1	8	n/a	8	111	3	n/a	n/a	n/a	n/a	48.206	BM12ANS.jpg
17.731	0.514	Blank	Blank	95.036	n/a	1	1	8	n/a	8	n/a	3	n/a	n/a	n/a	n/a	48.703	n/a
18.261	0.497	happy	Picture	94.522	n/a	1	1	9	n/a	9	110	3	n/a	n/a	n/a	n/a	49.233	AM11ANS.jpg
18.758	0.514	Blank	Blank	94.008	n/a	1	1	9	n/a	9	n/a	3	n/a	n/a	n/a	n/a	49.731	n/a
19.289	0.497	happy	Picture	93.494	n/a	1	1	10	n/a	10	85	3	n/a	n/a	n/a	n/a	50.261	BF07ANS.jpg
19.786	0.514	Blank	Blank	92.98	n/a	1	1	10	n/a	10	n/a	3	n/a	n/a	n/a	n/a	50.759	n/a
20.317	0.497	happy	Picture	92.466	n/a	1	1	11	n/a	11	87	3	n/a	n/a	n/a	n/a	51.289	BF11ANS.jpg
20.814	0.514	Blank	Blank	91.952	n/a	1	1	11	n/a	11	n/a	3	n/a	n/a	n/a	n/a	51.787	n/a
21.345	0.497	happy	Picture	91.439	n/a	1	1	12	n/a	12	91	3	n/a	n/a	n/a	n/a	52.317	AF20ANS.jpg
21.842	0.514	Blank	Blank	90.925	n/a	1	1	12	n/a	12	n/a	3	n/a	n/a	n/a	n/a	52.815	n/a
22.373	0.497	happy	Picture	90.411	n/a	1	1	13	n/a	13	115	3	n/a	n/a	n/a	n/a	53.345	AM23ANS.jpg
22.87	0.514	Blank	Blank	89.897	n/a	1	1	13	n/a	13	n/a	3	n/a	n/a	n/a	n/a	53.842	n/a
23.401	0.497	happy	Picture	89.383	n/a	1	1	14	n/a	14	97	3	n/a	n/a	n/a	n/a	54.373	BF28ANS.jpg
23.898	0.514	Blank	Blank	88.869	n/a	1	1	14	n/a	14	n/a	3	n/a	n/a	n/a	n/a	54.87	n/a
24.428	0.497	happy	Picture	88.355	n/a	1	1	15	n/a	15	82	3	n/a	n/a	n/a	n/a	55.401	AF03ANS.jpg
24.926	0.514	Blank	Blank	87.841	n/a	1	1	15	n/a	15	n/a	3	n/a	n/a	n/a	n/a	55.898	n/a
25.456	0.497	happy	Picture	87.327	n/a	1	1	16	n/a	16	96	3	n/a	n/a	n/a	n/a	56.429	AF26ANS.jpg
