onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.246	04:54:15	1	16332	1	1	6	1	8	13	10	2	5	n/a	n/a	5,6	1
11.0	n/a	0.993	04:54:26	1	21170	2	2	2	6	14	n/a	n/a	n/a	n/a	n/a	n/a	14,2	1
16.0	n/a	1.077	04:54:31	1	26092	3	3	2	2	11	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
21.0	n/a	1.062	04:54:36	1	31473	4	4	2	16	10	n/a	n/a	n/a	n/a	n/a	n/a	10,2	1
26.0	n/a	2.519	04:54:41	1	43458	5	5	6	9	12	11	16	1	7	n/a	n/a	7,6	0
38.0	n/a	1.735	04:54:53	1	54660	6	6	6	1	15	16	3	4	11	n/a	n/a	5,2	1
50.0	n/a	1.166	04:55:05	1	65739	7	7	6	3	12	11	7	9	4	n/a	n/a	4,1	0
61.0	n/a	1.226	04:55:16	1	76453	8	8	6	15	5	1	8	3	4	n/a	n/a	13,6	1
71.0	n/a	2.804	04:55:26	1	83107	9	9	2	13	11	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
78.0	n/a	1.08	04:55:33	1	88035	10	10	2	16	11	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
83.0	n/a	1.102	04:55:38	1	92981	11	11	2	16	9	n/a	n/a	n/a	n/a	n/a	n/a	9,2	1
88.0	n/a	1.23	04:55:43	1	103685	12	12	6	15	12	2	1	4	9	n/a	n/a	1,3	0
