onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.575	06:35:28	1	11053	1	1	2	14	12	n/a	n/a	n/a	n/a	n/a	n/a	13,1	1
5.0	n/a	1.372	06:35:33	1	16279	2	2	2	15	7	n/a	n/a	n/a	n/a	n/a	n/a	7,2	1
11.0	n/a	1.287	06:35:39	1	27025	3	3	6	13	11	10	7	14	16	n/a	n/a	16,6	1
21.0	n/a	1.39	06:35:49	1	37875	4	4	6	1	14	15	11	12	6	n/a	n/a	6,2	1
32.0	n/a	1.21	06:36:00	1	42936	5	5	2	14	13	n/a	n/a	n/a	n/a	n/a	n/a	13,2	1
37.0	n/a	1.421	06:36:05	1	53821	6	6	6	11	15	1	14	16	12	n/a	n/a	7,3	1
48.0	n/a	1.395	06:36:16	1	59057	7	7	2	3	4	n/a	n/a	n/a	n/a	n/a	n/a	13,2	1
53.0	n/a	3.405	06:36:21	1	71931	8	8	6	4	12	13	7	9	3	n/a	n/a	4,1	0
66.0	n/a	1.574	06:36:34	1	82988	9	9	6	4	2	9	14	10	15	n/a	n/a	9,2	0
77.0	n/a	1.252	06:36:45	1	88085	10	10	2	10	13	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
83.0	n/a	1.455	06:36:51	1	93384	11	11	2	8	3	n/a	n/a	n/a	n/a	n/a	n/a	11,2	1
88.0	n/a	1.767	06:36:56	1	104618	12	12	6	12	3	7	15	14	9	n/a	n/a	8,1	0
