onset	duration	response_time	time	order_of_test	time_start_battery	order_in_test	order	no_grids	grid1	grid2	grid3	grid4	grid5	grid6	grid7	grid8	pres_grid	correct
0.0	n/a	1.813	04:29:29	1	16907	1	1	6	13	14	9	5	6	10	n/a	n/a	9,3	1
11.0	n/a	1.468	04:29:40	1	27844	2	2	6	8	6	5	16	9	12	n/a	n/a	4,6	1
22.0	n/a	1.367	04:29:51	1	33059	3	3	2	3	13	n/a	n/a	n/a	n/a	n/a	n/a	13,2	1
28.0	n/a	1.425	04:29:57	1	38331	4	4	2	12	16	n/a	n/a	n/a	n/a	n/a	n/a	9,2	1
33.0	n/a	1.644	04:30:02	1	49444	5	5	6	6	4	13	14	2	1	n/a	n/a	4,2	1
44.0	n/a	1.167	04:30:13	1	60074	6	6	6	2	3	14	7	15	5	n/a	n/a	2,1	1
55.0	n/a	1.075	04:30:24	1	64993	7	7	2	8	5	n/a	n/a	n/a	n/a	n/a	n/a	8,1	1
60.0	n/a	0.947	04:30:29	1	69790	8	8	2	14	4	n/a	n/a	n/a	n/a	n/a	n/a	14,1	1
64.0	n/a	1.258	04:30:33	1	80541	9	9	6	3	1	5	14	10	15	n/a	n/a	8,3	1
75.0	n/a	1.439	04:30:44	1	85830	10	10	2	3	9	n/a	n/a	n/a	n/a	n/a	n/a	5,2	1
80.0	n/a	1.379	04:30:49	1	96678	11	11	6	13	6	15	7	14	1	n/a	n/a	15,3	1
91.0	n/a	1.105	04:31:00	1	101630	12	12	2	14	10	n/a	n/a	n/a	n/a	n/a	n/a	7,1	1
