onset	duration	response_time
12.7	n/a	0.395
16.0	n/a	0.331
23.9	n/a	0.195
27.8	n/a	0.229
35.6	n/a	0.214
40.8	n/a	0.187
47.2	n/a	0.231
53.4	n/a	0.214
63.3	n/a	0.239
72.8	n/a	0.209
79.1	n/a	0.185
84.0	n/a	0.234
93.1	n/a	0.215
99.8	n/a	0.227
103.5	n/a	0.251
110.5	n/a	0.194
117.0	n/a	0.209
121.9	n/a	0.221
126.2	n/a	0.285
132.6	n/a	0.195
137.3	n/a	0.197
143.9	n/a	0.186
151.8	n/a	0.207
157.9	n/a	0.220
166.7	n/a	0.197
174.9	n/a	0.216
183.6	n/a	0.220
187.3	n/a	0.413
197.0	n/a	0.259
205.0	n/a	0.223
215.2	n/a	0.204
221.6	n/a	0.309
229.6	n/a	0.251
236.1	n/a	0.261
238.8	n/a	0.435
246.3	n/a	0.235
253.1	n/a	0.247
259.0	n/a	0.294
268.5	n/a	0.211
271.3	n/a	0.369
274.3	n/a	0.330
277.0	n/a	0.332
286.0	n/a	0.239
291.0	n/a	0.254
294.4	n/a	0.288
297.4	n/a	0.247
